stage,blastomeres,erythrocytes,eye,fin_epithelia,glial,liver,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,6.29,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,3.22,0,0.81,0,0,0
 60-70,0,0,0.98,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,5.46,0,0,0,1.09,0,0,0,0,0
108-118,0,0.77,2.3,0,0,0.77,0,0,0,0,0,0.77
120,0,0,1.96,0,0,1.96,0,0,0,0,0,0
