stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,42.06,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.2,3.15,0,0,25.18,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,33,18,6,1,0,4,2,0,0,0,0,0,0,0,0,4,0,0,2,232,4,2,4,0,0,3,0,2,1,0,1,100,0,0,6,0,0
 24-34,0,0,2.46,0.82,9.03,0.82,16.42,3.28,0,13.13,0,0,0.82,0.82,0,0,0.82,0.82,0,8.21,0.82,0,4.93,726.46,0.82,12.31,4.1,0,0,1.64,0,0,1.64,0,0,183.05,0,0,22.98,0,0
 36-46,0,0,0,0,3.22,0,85.4,1.61,0,24.98,1.61,0,0,0.81,0,0.81,1.61,1.61,0,15.31,0,0.81,4.03,1334.19,0.81,10.47,0.81,0,0,2.42,0.81,0,3.22,0,0,272.32,0,0.81,14.5,0,0
 48-58,0,0,0.57,0,5.74,0,201.41,1.15,0.57,70,0,0,0.57,1.15,0,0.57,0.57,0.57,1.72,18.36,0,1.15,1.72,1297.37,0.57,6.31,2.3,0,0,1.15,0,0,0,0.57,0,261.66,0,0,19.51,0,2.3
 60-70,0,0,0,0,4.91,0,315.07,1.96,0,86.37,2.94,0,0,0.98,1.96,3.93,0,0,0,25.52,0.98,1.96,2.94,1363.33,0,3.93,0,0,0.98,1.96,0,0,0.98,0.98,0,173.73,0.98,0.98,9.82,0.98,0
 72-82,0,0,3.93,0,6.87,1.96,223.82,0,0.98,71.66,3.93,0,0,3.93,0,2.94,0.98,0.98,0.98,40.25,0,1.96,2.94,853.06,0,3.93,2.94,0,0,3.93,0,0,2.94,0,0,79.51,3.93,2.94,17.67,2.94,0
 84-94,0,0,1.06,0,12.74,2.12,189.04,0,0,39.3,8.5,0,2.12,6.37,0,9.56,0,0,0,24.43,0,1.06,3.19,469.42,0,2.12,3.19,0,0,13.81,0,0,4.25,0,0,39.3,6.37,1.06,15.93,7.43,1.06
 96-106,0,0,2.19,0,9.84,1.09,131.14,1.09,0,30.6,20.76,0,0,6.56,1.09,12.02,1.09,0,0,15.3,0,1.09,0,344.25,0,7.65,2.19,0,0,4.37,0,0,1.09,0,0,19.67,5.46,0,15.3,1.09,0
108-118,0,0,1.53,0,13.79,0,94.98,1.53,0.77,29.11,9.96,0,0.77,4.6,1.53,17.62,0.77,0,0,13.02,0,0.77,0,350.05,0,2.3,3.06,0,0,5.36,0,0,2.3,0,0,10.72,16.09,1.53,12.26,1.53,0
120,0,0,0,0,17.64,0,82.31,0,0,21.56,23.52,0,0,13.72,0,9.8,0,1.96,0,11.76,0,0,3.92,307.69,0,1.96,3.92,0,1.96,0,0,0,1.96,0,0,5.88,3.92,0,15.68,0,0
