stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,10.51,0,0,0,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,7.89,0,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,34.62,0,0,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,0,1,1,0,0
 24-34,0,0,0,1.64,0,1.64,0,0,0,0,0,0,2.46,0,0,20.52,0.82,0.82,0,0,0,1.64,0,0,0,1.64,3.28,0,0
 36-46,0,0,0,0.81,0,5.64,0.81,0,1.61,0,0,0,1.61,0,0,22.56,0,0,0,0,0,0.81,0,0,0,0,6.45,0.81,0
 48-58,0,0,0,0,0,6.31,0,0,1.72,0,0,0,0,0,0.57,13.2,0,0,0,0,0,0.57,0,0,0,0,4.59,0,0
 60-70,0,0,0,0,0,8.83,0,0.98,2.94,0,0,0,2.94,0,0,15.7,0,0,0,0,0,0,0,0,0,0,5.89,0.98,0
 72-82,0,0,0,0.98,1.96,7.85,0,0,0.98,0,0,0.98,6.87,0,0.98,11.78,0,0,0,0,0.98,0,0,0,0,0,1.96,0.98,0
 84-94,0,0,0,1.06,0,7.43,0,0,0,0,0,0,4.25,0,0,4.25,0,0,0,0,0,1.06,0,0,0,0,2.12,2.12,0
 96-106,0,0,0,1.09,1.09,6.56,0,0,1.09,0,1.09,1.09,1.09,1.09,0,8.74,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,3.06,0,0,1.53,0.77,0,0,3.83,0,0,11.49,0.77,0,0,0,0,1.53,0,0,1.53,0,0,0,0
120,0,0,0,1.96,1.96,5.88,0,0,1.96,0,0,0,1.96,0,0,5.88,0,0,1.96,0,0,1.96,0,1.96,0,0,0,1.96,1.96
