stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,25.18,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,12,5,5,0,0,0,1,0,0,0,2,0,0,1,0,12,0,0,6,48,0,0,0,4,0,1,8,0,12,13,0,0,2,0
 24-34,0,0,1.64,3.28,1.64,4.93,0,0,0,0,0,0.82,0,3.28,0,0,0,0,13.13,0,0,8.21,51.71,1.64,0.82,0,0,0,1.64,0,0,0,9.03,0,0,1.64,0
 36-46,0,0,0,1.61,0,2.42,0.81,0,0,2.42,0,0.81,0.81,0,0,0,0,0,12.09,1.61,2.42,4.03,16.11,0,0,0,0,0,1.61,0,0,0,7.25,0,0,0.81,0
 48-58,0,0,0,2.3,0,2.3,0.57,1.72,0.57,1.15,0,0,0,1.15,0.57,0.57,0,0,10.9,0,1.15,2.3,16.64,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,0.98,0,3.93,0.98,0.98,0.98,4.91,0,0,0.98,2.94,0,0.98,0,0,16.69,0,3.93,3.93,27.48,0,0.98,0.98,0,0,4.91,0,0,0,2.94,0,0.98,1.96,0
 72-82,0,0,0,1.96,0,8.83,0.98,0,0,11.78,1.96,0.98,0,0.98,0.98,0,0,0,38.28,0,1.96,2.94,15.71,0,0,0.98,0,0,0.98,0,0,0,1.96,0,0,2.94,0.98
 84-94,0,0,0,5.31,0,8.5,1.06,0,3.19,8.5,0,0,0,1.06,0,1.06,0,0,21.24,0,1.06,2.12,22.3,1.06,1.06,0,0,1.06,6.37,0,1.06,0,0,1.06,0,0,1.06
 96-106,0,0,0,6.56,0,10.93,1.09,0,2.19,9.84,0,1.09,1.09,4.37,1.09,0,0,0,36.06,0,2.19,1.09,19.67,0,1.09,0,0,4.37,13.11,0,0,0,0,1.09,1.09,2.19,0
108-118,0,0,0,7.66,0.77,2.3,1.53,0.77,3.06,7.66,0,0,3.06,2.3,1.53,0,0,0.77,20.68,0,1.53,3.06,17.62,0.77,1.53,0.77,0,0.77,9.96,0,0.77,0,0,0,0,2.3,0
120,0,0,0,9.8,0,1.96,0,0,0,3.92,0,1.96,0,1.96,0,0,0,0,27.44,0,0,5.88,37.24,1.96,0,0,0,0,1.96,0,0,0,1.96,0,1.96,0,1.96
