stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,lateral.line,liver,mesenchyme,muscle,neural,periderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0
 24-34,0,0,0,5.75,0,0,0.82,0,0,1.64,12.31,0,2.46,31.19,2.46,0,0
 36-46,0,0,0.81,15.31,0,0,0,0,0,1.61,11.28,0,1.61,1.61,0.81,0,0
 48-58,0,0,2.3,7.46,0,0.57,0,0,0,0.57,6.31,0,0.57,0,0.57,0,0
 60-70,0,0,3.93,6.87,0,0.98,0,0,0.98,0,3.93,0,0.98,0,0,0,0.98
 72-82,1.96,0.98,2.94,3.93,0,1.96,0,0.98,0.98,0.98,6.87,0,2.94,0,0.98,0,0
 84-94,1.06,0,2.12,0,0,0,0,0,0,0,2.12,0,0,0,1.06,1.06,0
 96-106,0,0,0,3.28,1.09,2.19,0,1.09,2.19,0,5.46,2.19,1.09,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0,0.77,0.77,2.3,0,3.06,0,0,0,0
120,0,0,0,7.84,0,0,0,0,0,0,5.88,0,0,0,0,0,0
