stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,13.14,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,17,8,0,11,0,0,5,2,1,0,0,1,0,0,0,0,16,0,0,5,184,1,2,2,5,4,15,1,17,57,0,0,3,0
 24-34,0,0,0,0.82,2.46,0,0,30.37,0.82,0.82,1.64,0,0,0,0,0,0,0,0.82,0.82,11.49,0,0,5.75,151.04,1.64,0,0,0,3.28,0,0.82,2.46,43.51,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,0,30.62,0.81,0,4.83,0.81,0,0,0,0,0,0,0,0,10.47,0.81,0.81,4.03,87.01,0.81,0,0.81,0,0,0,0,0,24.17,0,0,0,0
 48-58,0,0,0.57,0,0,0.57,0,53.36,0.57,0,9.18,0,0,0,0,0,0,0,0,0,20.66,0,1.15,5.16,75.17,0,0,1.72,0,1.15,0,0,0,18.36,0,0,0.57,1.15
 60-70,0,0,0,0,2.94,0.98,0,27.48,0,0.98,9.82,0.98,0,0,0,0,0,0,1.96,0,17.67,0,0,2.94,34.35,0.98,0,0,0,0.98,0,0,0,6.87,0,0,0,0.98
 72-82,0,0,0,0,0.98,0,0,14.72,0,0.98,13.74,0,0,0.98,0,0,0,0.98,0,0,19.63,0,0,3.93,48.1,0,0,0,0,0,0,0,0,8.83,0,0,0.98,0
 84-94,0,0,0,0,1.06,2.12,1.06,15.93,0,2.12,3.19,0,0,0,0,1.06,0,0,0,0,8.5,0,0,1.06,14.87,0,2.12,2.12,0,4.25,0,0,0,2.12,1.06,0,0,0
 96-106,0,0,1.09,0,3.28,0,0,8.74,1.09,0,6.56,1.09,0,1.09,1.09,1.09,1.09,2.19,1.09,0,18.58,0,2.19,2.19,22.95,0,0,2.19,0,3.28,0,0,0,0,0,1.09,4.37,0
108-118,0,0,0,0,3.06,1.53,0,9.96,0,0,5.36,0.77,0,0,0.77,0,0,0.77,0,0,9.19,0,1.53,1.53,39.06,0,0,1.53,0,3.06,0,0,0,1.53,0,0,2.3,0
120,0,0,0,0,3.92,0,0,11.76,1.96,0,1.96,0,0,0,0,0,0,1.96,1.96,0,23.52,0,0,0,21.56,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0
