stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,1,0,0,0,2,0,4,1,0,0,1,0,0
 24-34,0,0,0,0,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0,0,5.75,0,0,2.46,9.85,0.82,0,0.82,0.82,4.1,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0.81,0,0,1.61,0.81,0,0.81,0,0,0,0,0,0,0,0,0.81,4.83,0,0,1.61,13.7,0.81,0,0.81,0,1.61,0.81,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,3.44,0,0.57,0.57,0,0,0,0,0,0,6.89,0.57,0,0,7.46,0,0,0,0,0.57,0,0,0,0,1.15,0,0,0.57,0,0
 60-70,0,0,0.98,2.94,0,2.94,0,0,3.93,0,2.94,0,0.98,0,0,0,0,0,7.85,0,0,0,2.94,0,0,0.98,0,0.98,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,1.96,4.91,0,2.94,0,0.98,6.87,0.98,0.98,0,0,0,0,0,0,0,24.54,1.96,0,2.94,10.8,0,0,4.91,0,0,0,0,0,0,0,0,0,1.96,0.98,0.98
 84-94,0,1.06,3.19,7.43,0,4.25,0,0,6.37,0,0,0,0,0,0,0,0,0,6.37,1.06,0,0,2.12,0,1.06,4.25,0,22.3,0,0,0,0,1.06,1.06,0,0,1.06,1.06
 96-106,0,0,2.19,6.56,0,2.19,0,0,5.46,0,0,0,2.19,1.09,2.19,1.09,0,1.09,13.11,3.28,0,0,8.74,0,0,4.37,0,14.21,0,0,0,0,1.09,0,1.09,3.28,0,0
108-118,0,0,7.66,7.66,3.06,6.13,3.83,0.77,9.19,0,0,0,1.53,2.3,0.77,3.83,0,0.77,13.79,0,0.77,0.77,4.6,0,0.77,1.53,0.77,15.32,0,0,0.77,0,0,0,0,0.77,2.3,2.3
120,0,0,3.92,7.84,0,3.92,0,1.96,1.96,0,0,0,3.92,0,0,0,0,0,11.76,1.96,1.96,0,3.92,0,0,0,0,21.56,0,0,0,0,0,0,0,0,0,3.92
