stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,6.29,3.15,0,0,0,0,0,0
 14-21,4,1,1,1,0,0,0,2,0,0,1,0,5,2,0,0,9,1,0,3,26,26,0
 24-34,4.93,0,1.64,0,0,0.82,0,4.93,0,0,1.64,0,0,3.28,1.64,0,12.31,0,0,0,0.82,11.49,0.82
 36-46,1.61,0,0,0,0.81,0,0,2.42,0,0,1.61,0,0,3.22,0.81,0,9.67,0,0,0,0,7.25,0
 48-58,6.89,0,1.15,1.15,0,0.57,0,4.59,0,0,2.3,1.15,0.57,9.18,0,0,16.64,0,0.57,0,0,10.33,0
 60-70,10.8,0,1.96,0,4.91,0.98,0,9.82,0,0,2.94,2.94,0,4.91,1.96,0,47.11,0,0,0,0,1.96,0
 72-82,9.82,0,7.85,0,0,2.94,0.98,34.36,0,0,2.94,0.98,0,5.89,1.96,0,48.1,0,0,0,0,6.87,0.98
 84-94,21.24,0,1.06,4.25,0,2.12,0,44.61,0,1.06,1.06,0,0,2.12,6.37,0,88.15,0,0,0,0,4.25,0
 96-106,34.97,0,2.19,6.56,3.28,0,0,80.87,0,1.09,4.37,4.37,0,6.56,8.74,0,184.69,0,1.09,0,0,0,0
108-118,42.89,0,1.53,3.83,0,6.89,0.77,79.66,0.77,0.77,3.83,3.83,0,6.89,4.6,0,111.83,0,0.77,0,0,0,0
120,15.68,0,9.8,3.92,0,7.84,0,43.12,0,0,1.96,0,0,5.88,5.88,0,62.71,0,0,0,0,1.96,0
