stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.2,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,0,0,76.23,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,6.29,0,25.18,6.29,0,0,0,0,0,0
 14-21,0,0,0,8,1,0,0,0,1,0,0,1,0,0,0,55,0,0,0,0,1,9,0,0,8,1,10,0,0,0,85,0,0,0,0,0,0,0
 24-34,0,0,0,13.95,0,0,1.64,0,4.93,0,0,3.28,1.64,0,0.82,144.47,0,6.57,0.82,0,0,37.76,0,1.64,73.06,0,91.94,0.82,0,0,40.22,0.82,1.64,0,0,2.46,0,0
 36-46,0,0,0,5.64,0,0,2.42,0,0.81,0,1.61,2.42,8.06,0,4.03,53.98,0,4.83,0,0,1.61,27.39,0,1.61,100.71,0,99.1,0,0,0,35.45,0,0.81,0,0,0,0,0
 48-58,0,0,0,9.18,0,0,6.31,0,1.72,0,1.15,1.15,39.02,0,0.57,29.84,0,2.3,0,0.57,2.87,20.08,0,0.57,50.49,0,71.73,0.57,0,0,41.31,0,4.02,0,0,0,0,0.57
 60-70,0,0,0,28.46,0,0,10.8,0,0.98,0,0,3.93,21.59,0,2.94,30.43,0,10.8,0.98,0,0.98,15.7,0,0.98,31.41,0,68.71,0,0,0,53.98,0,2.94,13.74,0,0.98,0,0
 72-82,0,14.72,0,56.94,0,0,10.8,1.96,1.96,0.98,3.93,44.17,14.72,0.98,5.89,68.72,0,19.63,0.98,0,4.91,38.28,0.98,1.96,49.08,0.98,131.54,0,0,0.98,89.33,0,0,57.92,0,0,0.98,0.98
 84-94,0,10.62,0,101.96,4.25,0,11.68,0,13.81,1.06,1.06,74.34,21.24,1.06,13.81,138.06,1.06,30.8,1.06,0,5.31,31.86,0,0,50.98,0,155.06,1.06,0,0,228.34,1.06,1.06,193.29,1.06,3.19,2.12,0
 96-106,0,14.21,0,283.05,4.37,2.19,19.67,0,22.95,3.28,3.28,166.11,2.19,0,16.39,174.86,2.19,60.11,9.84,0,12.02,57.92,1.09,2.19,59.01,0,249.17,2.19,0,1.09,412,1.09,3.28,260.1,0,2.19,1.09,1.09
108-118,0,10.72,2.3,247.41,6.89,0,9.19,0,47.49,1.53,6.89,229.79,0.77,0.77,13.79,184.6,0,37.53,4.6,0.77,10.72,48.26,0.77,1.53,37.53,0,149.36,0.77,0,0,326.3,0,0.77,264.26,0.77,3.83,0,0
120,0,5.88,1.96,197.94,13.72,0,3.92,0,35.28,1.96,1.96,141.1,0,0,7.84,101.91,1.96,29.4,3.92,0,5.88,29.4,0,0,43.12,0,103.87,0,0,0,305.73,1.96,0,111.71,0,1.96,0,0
