stage,axial,epidermis,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,87.83,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64,117.63,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,2.3,0.57,0,0,0,0,0,0,0,0,4.02,115.33,0,0,0.57,0.57,0,0.57,0,0
 60-70,0.98,0,0,0.98,1.96,0.98,0,0,0,0,0.98,0,0,2.94,75.58,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0,5.89,0.98,0,0,0,0.98,0.98,0,2.94,78.53,0,0,0,19.63,0,0,0,0
 84-94,0,0,0,1.06,1.06,5.31,0,1.06,0,0,0,0,0,3.19,117.89,0,0,1.06,48.85,0,0,0,0
 96-106,0,1.09,0,4.37,1.09,96.17,0,1.09,1.09,0,4.37,2.19,0,22.95,116.93,1.09,0,1.09,62.29,0,0,1.09,1.09
108-118,0.77,0,1.53,4.6,1.53,240.51,0,0,0,0.77,6.13,0,0.77,20.68,128.68,0,0,1.53,74.3,0,0.77,0.77,0
120,1.96,1.96,0,5.88,1.96,178.34,1.96,0,0,1.96,3.92,0,0,19.6,184.22,0,0,1.96,54.87,0,0,0,0
