stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,3,0,0,1,11,0,0,0,0,0
 24-34,0,0,0.82,2.46,0,7.39,0,0.82,0,2.46,0,0,0.82,0,0,0,9.03,0,4.93,200.29,0,3.28,1.64,0,0,0,0,0,0,0,2.46,33.66,0,0,1.64,0,0
 36-46,0,0,0,3.22,0,49.95,0,0.81,0.81,8.06,0,0,0,0,0,0,11.28,0,5.64,464.87,0,3.22,1.61,0,0,1.61,0.81,0.81,1.61,0,0,87.01,0,0,0,0,0
 48-58,0,0,0,1.15,0,88.94,0,0,1.15,20.08,0,0,0,0.57,1.72,0,19.51,1.72,4.02,486.01,1.15,1.15,3.44,0,0,0,0,0,0,0,0,97.55,0,0,0,0,0
 60-70,0,0,0.98,4.91,0,128.58,0,0,0,29.45,0,0,0,0,0.98,0,30.43,0,4.91,471.13,0.98,1.96,0,0,0,0.98,0,0,0,0.98,0,68.71,0,0,2.94,0,0
 72-82,0,0,0.98,3.93,0,125.65,0,0,3.93,35.34,1.96,0.98,0,1.96,1.96,0,60.86,0,4.91,385.79,0,4.91,0.98,0,0.98,0,0,0,0,0,0,44.17,0.98,2.94,4.91,0.98,1.96
 84-94,0,0,0,4.25,0,66.91,1.06,2.12,1.06,16.99,0,1.06,0,3.19,0,1.06,31.86,2.12,3.19,192.23,1.06,2.12,1.06,0,0,2.12,0,0,1.06,0,0,22.3,0,1.06,1.06,1.06,2.12
 96-106,0,0,2.19,2.19,0,37.16,0,2.19,0,26.23,1.09,0,0,0,0,0,34.97,2.19,2.19,124.58,0,3.28,2.19,0,1.09,1.09,0,0,0,0,0,4.37,0,1.09,8.74,0,0
108-118,0,0,1.53,4.6,1.53,29.87,0,0.77,1.53,26.04,0,1.53,0,1.53,0,0,29.87,0.77,3.06,157.02,0.77,3.06,2.3,0,2.3,0.77,0,0,0.77,0,0,8.43,0,0,1.53,0.77,1.53
120,0,0,0,1.96,0,35.28,1.96,0,0,17.64,0,1.96,0,0,0,0,13.72,1.96,1.96,127.39,0,3.92,9.8,0,0,0,0,0,1.96,0,0,3.92,0,0,0,3.92,0
