stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,1.64,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,74.7,0,0,0,0.82,0.82,0.82,0,0,0,0,0
 36-46,0,0.81,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,275.54,0,0.81,0,0,0,4.03,0,0,0,0,0
 48-58,0,1.72,0,0,10.33,0,0,0,0.57,0,0,0,0,0,0,0,4.02,0,0,0,449.86,0,1.72,0,0.57,0,5.74,0,0,0.57,0,1.15
 60-70,0,0,0,0,32.39,0,0,0,0.98,0,0,0,0,0,0,0,12.76,0,0.98,0.98,1173.9,0.98,0.98,0,0.98,0.98,18.65,0,0,0,0,0.98
 72-82,0,11.78,0.98,0,117.8,0,2.94,1.96,21.6,0,0,0,0.98,0,0,0.98,22.58,0,0,1.96,1911.3,0,1.96,0.98,0,0,30.43,1.96,0,0,0,0.98
 84-94,1.06,18.05,1.06,0,132.75,0,4.25,1.06,22.3,0,0,1.06,0,0,0,1.06,27.61,0,2.12,1.06,1212.85,0,1.06,1.06,6.37,0,19.12,6.37,0,0,2.12,3.19
 96-106,0,14.21,1.09,0,124.58,1.09,2.19,4.37,27.32,2.19,3.28,2.19,5.46,1.09,1.09,0,27.32,1.09,1.09,0,1299.39,0,3.28,1.09,4.37,0,16.39,2.19,1.09,1.09,0,0
108-118,0,16.09,3.83,0,88.85,0,0,1.53,9.19,1.53,0,0.77,4.6,0,0,0,31.4,0,0,0,1696.61,0,2.3,1.53,3.06,0.77,21.45,9.96,0,0.77,0,0
120,0,19.6,0,1.96,78.39,0,1.96,7.84,9.8,0,1.96,0,5.88,0,1.96,0,17.64,1.96,0,1.96,1924.51,0,1.96,0,0,1.96,17.64,3.92,0,0,0,1.96
