stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,803.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,12.26,190.02,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,18.4,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,1,0,0,0,0,0,0,1,3,0,0,0,0
 24-34,0,0,1.64,0,1.64,0,6.57,0,0,0,2.46,0,0,0,0,0,0.82,0,5.75,0,0,0.82,50.89,0,0.82,0,0,0,0,0,0,13.95,0,0,0,0
 36-46,0,0,0.81,0,0,0,22.56,0,0,0.81,5.64,0,0,0,0,0,0,0,3.22,0,0.81,0,107.96,0,0,3.22,0,0,0,0,0,23.36,0,0,0,0
 48-58,0,0,0,0,0.57,0,117.06,0,0,0,9.75,0,0,0,0,0,0,0.57,4.02,0,0,0,182.47,0,0,7.46,0,0,0,0,0,39.02,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,435.8,0,0,0,85.39,0.98,0,0,0.98,0,0,0,11.78,0,0,0,475.06,0,0,9.82,0,0.98,0,0,0,48.09,0,0,0,0
 72-82,0,0,1.96,0,3.93,0,363.21,0.98,0,1.96,257.2,0.98,0,0,0,2.94,0.98,0,38.28,0,0,0,563.47,0,0,12.76,0,0,0,0,0,28.47,0.98,0,0,0
 84-94,0,0,2.12,0,4.25,0,351.53,0,0,0,152.93,0,0,0,1.06,0,0,0,26.55,0,3.19,1.06,311.18,1.06,0,15.93,0,0,0,1.06,0,19.12,1.06,1.06,2.12,0
 96-106,0,0,1.09,0,4.37,1.09,222.94,0,0,1.09,224.03,2.19,0,0,1.09,0,0,0,30.6,1.09,0,1.09,284.14,0,0,21.86,0,2.19,0,1.09,0,12.02,0,1.09,0,1.09
108-118,0,0,2.3,0,4.6,0,143.24,0,0,1.53,183.07,0.77,0,0.77,0.77,0.77,1.53,0,20.68,0,0.77,0.77,254.3,0,0.77,7.66,0,0,0,0,0,9.96,0,1.53,0,0.77
120,0,0,0,0,7.84,0,129.35,1.96,1.96,0,237.13,7.84,0,0,0,0,1.96,0,9.8,0,0,0,356.68,0,1.96,17.64,0,0,1.96,0,0,5.88,0,0,0,0
