stage,axial,blastomeres,endoderm,eye,fast.muscle,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,13.18
  5-6,12.26,226.8,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,2.63,0,0,36.8,5.26,18.4,0
 10-12,0,0,3.15,3.15,0,0,0,0,6.29,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0.77
120,0,0,0,0,0,0,0,1.96,0,0,0,0
