stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,15.73,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,3,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13,1,0,1,0,32,2,0,1,9,0,0,1
 24-34,0,0,0,0.82,1.64,0,2.46,0,0,2.46,0.82,0,0,2.46,0,0.82,0,1.64,0,0,0.82,17.24,0,1.64,3.28,0,45.15,0,0.82,0,5.75,0,0,3.28
 36-46,0,0,0,0,1.61,0,4.83,0,0,2.42,0,0.81,0,0,0,0,0,0.81,0,0,0,12.09,0,0.81,2.42,0,49.95,0,0,0,4.83,0,0,3.22
 48-58,0,0,0,0,1.72,0,2.87,0,0.57,0.57,0,1.72,0,0.57,0.57,1.72,0,0.57,0,0,0,6.31,0.57,0.57,2.87,0,32.71,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,5.89,0,9.82,0,0.98,0.98,0,0,0.98,2.94,0,2.94,0,0,0.98,0,0,23.56,0,1.96,0.98,0,24.54,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,11.78,0,12.76,0,0.98,4.91,1.96,0,0.98,0.98,0,0,0,2.94,0.98,0,0,25.52,0,3.93,5.89,0,27.49,0,0,0,0.98,0.98,0,5.89
 84-94,0,0,2.12,0,18.05,0,12.74,0,1.06,3.19,9.56,2.12,1.06,1.06,0,0,0,0,1.06,0,1.06,13.81,0,8.5,3.19,0,97.71,0,0,0,1.06,1.06,0,4.25
 96-106,0,0,0,0,31.69,0,12.02,1.09,2.19,5.46,12.02,0,0,2.19,0,6.56,1.09,3.28,3.28,0,1.09,26.23,0,5.46,5.46,0,97.26,0,0,0,1.09,5.46,1.09,3.28
108-118,0,0,0.77,0,28.34,0,11.49,0.77,3.06,1.53,14.55,0,1.53,6.89,0,3.06,0.77,0.77,2.3,0,1.53,14.55,0,2.3,6.89,0,76.6,0,0,0,0,6.13,0,3.06
120,0,0,0,0,29.4,0,7.84,0,5.88,0,19.6,0,1.96,3.92,0,1.96,0,5.88,0,1.96,0,23.52,0,3.92,1.96,0,64.67,0,0,0,0,5.88,0,1.96
