stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,5.26,0,0,7.89,0,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,31.54,7.89,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,34.62,15.73,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,18,6,15,0,0,0,2,0,0,0,0,0,0,0,0,8,26,0,0,9,108,0,1,1,1,0,0,0,2,2,52,0,0,30,0,22
 24-34,0.82,0,1.64,0,11.49,1.64,28.73,0,0,1.64,5.75,0,0,3.28,0,0,0,1.64,0.82,32.83,64.85,0,0,4.93,481.02,5.75,0.82,1.64,0,0,3.28,0,0,0.82,103.43,0,0,77.98,0,76.34
 36-46,0,0,2.42,0,2.42,0,20.14,0,0,2.42,39.48,0,0,1.61,0,0,1.61,0.81,0,19.34,58.01,0,0,8.06,621.98,4.83,0,1.61,0,0,0,0,0,0,124.07,0,0,42.7,0,40.28
 48-58,0,0,0.57,0,0,0,31.56,0,0.57,2.87,53.94,0,0,1.15,0,0,1.72,1.15,0,10.9,82.63,0,0,5.74,371.25,4.02,0,1.15,0,0,0,0,0,0,82.05,0,0,36.72,0,34.43
 60-70,0,0,0,0,1.96,0.98,88.34,0,1.96,3.93,91.28,0,0,0.98,0,0,0.98,0,0,10.8,96.19,0,0,3.93,286.6,0.98,0.98,1.96,0,0.98,0,0,0,0,53.98,0,0.98,24.54,0,32.39
 72-82,0,0,0,0.98,2.94,0,76.57,0,0,7.85,114.85,0,0,1.96,0,0,4.91,0.98,0,3.93,171.79,0,1.96,8.83,269.96,0,0,11.78,0,0,0.98,0,0,0,27.49,0.98,2.94,37.3,0,24.54
 84-94,0,0,1.06,0,3.19,0,61.6,1.06,1.06,5.31,64.78,2.12,1.06,0,1.06,0,5.31,0,0,6.37,130.63,0,4.25,3.19,149.75,1.06,0,1.06,0,1.06,0,1.06,0,0,26.55,0,1.06,31.86,0,28.68
 96-106,0,0,1.09,0,4.37,2.19,51.36,0,0,3.28,68.85,3.28,1.09,1.09,1.09,1.09,3.28,0,2.19,5.46,85.24,1.09,1.09,4.37,160.65,0,0,3.28,0,1.09,1.09,2.19,0,0,5.46,0,1.09,33.88,2.19,31.69
108-118,0,0,1.53,0,2.3,0,42.13,0,0,3.06,58.21,0.77,0,0,1.53,0.77,6.89,0,0.77,10.72,71.23,0.77,0.77,3.06,157.79,0,0.77,3.06,0,0,2.3,0,0,0,5.36,0,0.77,19.92,0.77,42.13
120,0,0,0,0,5.88,3.92,45.08,0,0,1.96,45.08,0,0,0,7.84,0,5.88,0,0,1.96,47.03,1.96,0,5.88,154.82,0,1.96,5.88,0,0,0,0,0,0,3.92,0,0,11.76,1.96,7.84
