stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,9.44,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,31.47,0,0,6.29,0,0,0,0,0
 14-21,0,0,1,3,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,16,0,1,1,0,1,0,1,3,8,0,0
 24-34,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,5.75,0,0.82,25.45,0,1.64,0,0,0,0,0,0,4.1,1.64,0
 36-46,0,0,0,1.61,0,0,1.61,0,0,0,0,0,0,0,0,0,5.64,0,0,15.31,0,0,0,0.81,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,0.57,0,2.3,0.57,0,1.72,0,0,0,0,0.57,0,4.02,0,1.72,3.44,0,0,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,1.96,0,0.98,2.94,0,0,0,0,0,0.98,3.93,0,0.98,5.89,0,0.98,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,1.96,0,0,4.91,0,0,0.98,0.98,0,0,0,0.98,0,11.78,0,0.98,6.87,0,0,0,0,0,0.98,0,0,0,0,0.98
 84-94,0,0,0,3.19,0,0,0,0,0,2.12,0,0,0,1.06,0,0,2.12,1.06,0,4.25,0,0,0,0,0,3.19,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,0,2.19,0,0,1.09,0,0,0,0,0,0,6.56,0,1.09,4.37,1.09,0,0,0,0,2.19,0,0,0,0,1.09
108-118,0,0,0,5.36,0,0.77,1.53,0,0.77,0.77,0,0,0.77,0.77,0,0,6.13,0,0,2.3,0.77,0,0,0,0,1.53,0,0,0,0,0
120,0,0,0,0,0,0,3.92,0,1.96,1.96,0,0,0,0,0,0,7.84,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
