stage,axial,blastomeres,endoderm,erythrocytes,eye,fin_epithelia,gut,hatching_gland,iridophores,liver,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,619.36,11543.87,0,0,0,0,0,0,0,0,0,0,0,0,448.05,0,0,0,0,0
  5-6,257.44,3242.58,6.13,0,0,0,0,18.39,0,0,0,147.11,6.13,24.52,73.56,0,0,0,0,0
  7-9,26.29,13.14,15.77,0,34.17,0,0,18.4,0,0,0,383.79,23.66,123.55,0,21.03,0,0,0,0
 10-12,0,0,6.29,3.15,9.44,0,0,3.15,0,0,0,78.67,9.44,37.76,0,9.44,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,5,1,0,0,0,1,0,1,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,3.22,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,2.87,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,1.96,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,0.98,0,0,0,1.96,3.93,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,2.12,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0,0,0.77,0.77,0.77,0,0,0,0,0,0,0,0
