stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,15,169,78,0,176,0,1,0,21,3,7,0,0,3,0,1,3,3,90,0,0,66,1255,17,3,12,38,0,14,1,192,9,10,268,350,0,0,5,0,3
 24-34,0.82,0.82,18.06,91.12,32.01,0,403.04,3.28,8.21,2.46,27.09,7.39,1.64,4.1,10.67,9.85,0.82,13.95,7.39,9.85,215.89,2.46,0.82,87.83,1805.06,6.57,9.03,26.27,0.82,0,99.32,0,0.82,6.57,3.28,91.94,357.89,0,0,33.66,0,10.67
 36-46,0,0,1.61,32.23,8.06,0,372.22,12.09,3.22,7.25,47.53,7.25,0,4.83,8.06,5.64,3.22,5.64,6.45,9.67,194.97,2.42,4.83,55.59,1391.39,9.67,6.45,12.89,0,0,68.48,0.81,0.81,4.83,4.03,3.22,323.07,0,0.81,22.56,0,5.64
 48-58,0.57,0.57,0.57,29.26,3.44,0,464.21,14.35,6.31,9.75,92.96,8.61,3.44,2.3,8.03,2.3,6.31,4.02,8.61,2.87,208.86,1.15,9.75,41.89,887.68,2.87,8.61,7.46,0,0,25.25,0.57,0,1.72,2.87,0,187.63,0,1.15,18.36,0,8.03
 60-70,0,0,0.98,54.97,5.89,0,464.26,10.8,11.78,6.87,100.12,24.54,0.98,0.98,4.91,6.87,6.87,4.91,12.76,1.96,210.05,3.93,8.83,45.15,716.51,6.87,4.91,10.8,0,1.96,69.69,0.98,0,5.89,1.96,0,95.21,0,0.98,18.65,0,7.85
 72-82,0,2.94,0,50.06,39.27,2.94,402.48,6.87,4.91,13.74,125.65,39.27,2.94,10.8,22.58,5.89,9.82,8.83,9.82,1.96,289.59,5.89,8.83,61.84,576.24,0.98,10.8,9.82,0,1.96,64.79,0,0,4.91,1.96,0,49.08,0.98,11.78,41.23,6.87,6.87
 84-94,0,5.31,0,79.65,33.99,4.25,251.7,3.19,9.56,11.68,77.53,22.3,6.37,3.19,29.74,12.74,9.56,4.25,10.62,3.19,163.55,2.12,9.56,40.36,315.43,3.19,5.31,9.56,0,3.19,199.66,0,0,7.43,3.19,0,29.74,4.25,6.37,38.23,4.25,5.31
 96-106,0,3.28,0,68.85,30.6,7.65,184.69,0,8.74,4.37,73.22,27.32,0,2.19,30.6,12.02,5.46,7.65,3.28,4.37,174.86,6.56,7.65,49.18,249.17,4.37,10.93,10.93,0,3.28,190.16,0,0,2.19,1.09,0,20.76,4.37,5.46,29.51,3.28,3.28
108-118,0,1.53,1.53,108,40.6,28.34,172.34,5.36,17.62,7.66,64.34,21.45,0,2.3,18.38,16.09,8.43,6.13,10.72,2.3,166.21,6.89,6.13,45.96,303.32,3.83,6.89,13.79,0,0.77,170.04,0,0,4.6,0.77,0,8.43,5.36,3.06,17.62,2.3,5.36
120,0,0,0,293.97,70.55,7.84,166.58,11.76,29.4,11.76,96.03,47.03,0,0,56.83,21.56,7.84,17.64,15.68,5.88,180.3,9.8,7.84,113.67,401.76,11.76,13.72,13.72,0,3.92,246.93,0,1.96,7.84,5.88,0,13.72,3.92,1.96,43.12,0,0
