stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,14,0,2,0
 24-34,0,0,0,0.82,0.82,0,0,0.82,0,0,0,0.82,1.64,0.82,0,9.03,0.82,0,0,0,54.18,0.82,1.64,0.82
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0,0,8.06,0.81,0,0,0,25.78,0,0.81,0
 48-58,0,0,0,0,1.72,0,0,2.3,0.57,0,0,0,0.57,0,0,2.87,0.57,0,0,0,16.07,0,0.57,0
 60-70,0,0,0.98,0,0.98,0,0,4.91,2.94,1.96,0,0,0,0,0,2.94,0,0,0,0,11.78,0,0.98,0
 72-82,0,0.98,0,0,1.96,0,0,13.74,6.87,0,0,0,3.93,0,0,3.93,0,0.98,0,0,8.83,0,0,0
 84-94,0,0,4.25,0,2.12,0,0,3.19,15.93,4.25,0,0,0,1.06,0,0,1.06,0,0,0,27.61,1.06,0,0
 96-106,0,0,6.56,0,1.09,0,0,7.65,8.74,0,0,1.09,2.19,0,0,10.93,0,1.09,0,0,18.58,0,2.19,0
108-118,0,0,9.19,0.77,1.53,0.77,0,10.72,22.21,0,0.77,3.06,6.13,0,0.77,6.89,2.3,2.3,0,0.77,19.92,0,0,0
120,0,0,5.88,0,0,0,1.96,17.64,27.44,1.96,0,0,11.76,0,0,9.8,0,1.96,0,0,23.52,0,1.96,1.96
