stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,1.96,0,0,0,0.98,2.94,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,0,0,0,0.98,12.76,0,0.98,0,0,0.98,0,0.98,0,0,1.96,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,36.11,0,1.06,1.06,0,0,0,0,0,0,4.25,0,0,0,0,3.19,0,0,0,1.06
 96-106,1.09,1.09,1.09,2.19,1.09,0,0,1.09,48.09,1.09,0,0,0,0,0,1.09,1.09,0,8.74,0,0,0,1.09,0,0,0,0,0
108-118,0,0.77,0,5.36,0.77,0.77,0.77,1.53,63.57,0,0.77,0,1.53,0,0.77,2.3,0,0.77,7.66,0.77,0.77,0.77,1.53,3.83,0.77,0.77,0.77,0
120,0,1.96,0,5.88,0,0,0,1.96,72.51,0,1.96,0,0,3.92,0,1.96,0,1.96,5.88,1.96,0,0,3.92,0,0,0,0,0
