stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,47,0,0,0,0,0
 24-34,3.28,0,2.46,0.82,2.46,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,386.62,0,10.67,0,0,0,0.82,0.82,0.82,174.84,0,0,0.82,0,0
 36-46,0,0,0,0.81,11.28,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0.81,0,0,4.03,1038.51,0,8.06,0,0,0,1.61,0,0,271.51,0,0,0.81,0,0
 48-58,0,0,1.72,0.57,118.2,0.57,1.15,0.57,22.95,0,0,0.57,0,0,0,0,0,0.57,16.64,0,1.15,4.02,1538.94,0.57,6.89,0,0,0.57,2.87,0,0.57,296.08,0,0,0.57,0,0.57
 60-70,0.98,0,4.91,0.98,448.56,0,0.98,0,35.33,1.96,0,0,0.98,0,0,0.98,0,0,25.52,0.98,0,0,2421.41,0,5.89,1.96,0,0,2.94,0.98,0,352.37,0,0,0.98,0,1.96
 72-82,1.96,0,13.74,0.98,637.1,0.98,0,0.98,48.1,1.96,0,1.96,0.98,0,1.96,0.98,0.98,0,29.45,0,0.98,1.96,2363.84,0,14.72,2.94,0,2.94,1.96,0.98,0,218.91,0.98,0.98,2.94,0,2.94
 84-94,0,0,12.74,3.19,418.44,1.06,0,2.12,53.1,2.12,0,0,3.19,0,2.12,1.06,0,0,29.74,0,0,0,1140.63,0,3.19,3.19,0,0,9.56,0,0,117.89,1.06,3.19,1.06,1.06,1.06
 96-106,0,0,13.11,7.65,374.85,0,0,0,42.62,6.56,0,1.09,3.28,1.09,0,0,3.28,1.09,27.32,0,0,0,1063.34,1.09,10.93,2.19,0,3.28,4.37,0,0,51.36,0,0,2.19,0,2.19
108-118,1.53,0.77,8.43,2.3,274.21,1.53,0,0.77,35.23,3.83,0,0.77,0.77,0.77,0,0,3.06,0,18.38,0.77,1.53,0.77,1089.97,0,10.72,1.53,0,0,3.83,1.53,0,39.83,0.77,0.77,1.53,0.77,0
120,1.96,0,13.72,0,250.85,0,1.96,1.96,23.52,1.96,0,0,1.96,1.96,0,0,3.92,1.96,17.64,0,0,3.92,1195.47,1.96,3.92,0,0,0,0,0,0,45.08,0,0,5.88,0,1.96
