stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,4,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,157,0,0,0,0,0,0,0,82,0,0,0,0,0
 24-34,0,2.46,0,0.82,0,4.1,0,0,0,1.64,0.82,0,0,0,0,0,0,0,0,5.75,0,0,0.82,497.44,0,4.1,0.82,0,0,1.64,0,158.43,0,0,1.64,0,0
 36-46,0,0.81,0,0,0,20.95,0,0,0,3.22,0,0,0.81,0,0,0,0,0,0,6.45,0,0,0.81,854.01,0,3.22,0,0,0,1.61,0,224.78,0,0,0.81,0,0
 48-58,0,0,0,2.87,0,130.25,0.57,0,0.57,13.77,0,0,0,0.57,0.57,0,0,0.57,0,8.61,0,0,2.3,1069.57,0.57,0.57,0,0,0,3.44,0,216.32,0,0,0,0,1.72
 60-70,0,0,0,1.96,0,435.8,0,0,0,23.56,0,0,0,0,0,0,0.98,0,0,16.69,0,0,0,1642.09,0,2.94,0,0,0,0.98,0,265.99,0,0.98,1.96,0.98,0.98
 72-82,0,0,0,8.83,3.93,588.02,0,1.96,2.94,38.28,2.94,0,0,0,0,0.98,0,0.98,0,33.38,0,0.98,0.98,1489.18,0,1.96,1.96,0,0,3.93,0,170.81,0.98,0,0.98,0.98,0.98
 84-94,0,0,0,12.74,1.06,311.18,0,0,0,33.99,0,0,1.06,1.06,1.06,1.06,1.06,0,1.06,26.55,2.12,0,1.06,700.94,0,2.12,2.12,0,0,4.25,0,81.78,0,1.06,1.06,1.06,0
 96-106,0,0,0,12.02,2.19,259,1.09,2.19,0,37.16,2.19,0,0,3.28,0,2.19,1.09,3.28,0,18.58,1.09,1.09,3.28,675.38,1.09,3.28,0,0,0,4.37,0,54.64,0,0,1.09,1.09,1.09
108-118,0,0.77,0,11.49,3.06,209.11,0.77,0.77,0,25.28,0,0,0,0.77,0.77,1.53,0,0,0,9.19,0.77,0.77,2.3,726.13,0,5.36,0.77,0,0.77,2.3,0,27.57,0,0,1.53,0.77,0
120,0,0,0,13.72,0,188.14,0,1.96,0,29.4,3.92,0,0,3.92,0,1.96,0,0,0,5.88,0,0,1.96,838.79,1.96,0,1.96,0,0,1.96,0,29.4,1.96,0,3.92,0,0
