stage,endoderm,epidermis,eye,fin.epithelia,glial,gut,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,taste,visceral.smooth.muscle
  7-9,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0
 60-70,0,0,0.98,0,0,0,0,0.98,0,2.94,0,0,0,0,0
 72-82,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,1.06,1.06,0,2.12,0,1.06,1.06,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0,1.09
108-118,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
