stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,1,0,3,0,2,0,0,0,0
 24-34,0,0,0,0,4.93,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,9.85,0,0.82,0.82,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0.81,0,0,4.83,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,1.72,0,0.57,0,0.57,0.57,0,0.57,0,0,0.57,0.57,2.87,0,0.57,0.57,8.03,0.57,1.15,1.15,0,2.3,0,0,0.57,0,1.72,0,0,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,7.85,0,1.96,0.98,0,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,2.94,0,0.98,0.98,0,0,0,0,0,0.98,0,0,3.93,0,0,0,10.8,0,0.98,0.98,0,3.93,0,0,0.98,0,0.98,0.98,0,0.98
 84-94,0,0,1.06,0,12.74,1.06,1.06,0,0,3.19,0,0,0,0,1.06,0,2.12,1.06,1.06,0,1.06,0,0,1.06,0,12.74,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,2.19,0,4.37,1.09,0,0,0,2.19,0,0,0,2.19,3.28,0,3.28,0,1.09,0,2.19,0,1.09,3.28,0,3.28,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,6.13,0.77,0,0,0.77,2.3,0,0,0.77,0.77,0,0,3.06,0,0.77,0,6.13,0,1.53,0,0,8.43,0,0,0.77,0,0,0,0,0
120,0,0,0,0,5.88,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,3.92,0,3.92,0,0,1.96,0,0,0,0,0
