stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,17,0,5,0,0,1,0,0,0,0,0,0,0,6,0,0,3,39,4,1,1,7,0,2,6,2,3,16,0,0,0,0
 24-34,0,1.64,14.78,0,20.52,0.82,0,4.93,0.82,0,0.82,1.64,0,0,0,26.27,0,0,13.95,180.59,5.75,0.82,4.93,0,0,18.06,0,0.82,4.1,44.33,0,4.93,0,0
 36-46,0,0,1.61,0,24.98,0,0,0.81,0,0,0.81,0.81,0.81,0,0,17.72,0.81,0,3.22,34.64,0.81,0,0,0,0,3.22,0,0,0,4.83,0,0,0,0.81
 48-58,0,0,4.59,4.02,131.98,2.3,0,8.03,0,1.15,0.57,0,0.57,0.57,0,61.4,0,1.15,10.33,74.02,1.15,1.15,0,0,0,14.35,0.57,0,0,17.79,0,3.44,0,0.57
 60-70,0,0,0.98,0,34.35,1.96,0.98,1.96,0,0,1.96,0,0.98,0,0,15.7,0,0.98,3.93,35.33,0.98,0,0,0,0.98,4.91,0,0,0,2.94,0,0,0,0
 72-82,0,0,2.94,0,46.14,0.98,0,5.89,1.96,0,2.94,0,0,0.98,0.98,26.5,0.98,1.96,0,39.27,0.98,0.98,0.98,0,0,1.96,0,0,0,0.98,0,0,0,0
 84-94,0,0,1.06,0,11.68,0,0,3.19,0,0,3.19,1.06,0,0,0,13.81,0,0,2.12,10.62,1.06,0,1.06,0,0,5.31,0,1.06,0,2.12,0,0,0,0
 96-106,0,0,8.74,1.09,22.95,0,1.09,12.02,0,0,9.84,0,1.09,0,0,20.76,0,1.09,2.19,28.41,1.09,0,2.19,0,0,4.37,0,1.09,0,1.09,1.09,2.19,2.19,1.09
108-118,0.77,0,3.83,0,13.02,0.77,0,3.83,0,0,6.89,0,0,0.77,0,14.55,0,1.53,3.83,21.45,0,0,0,0,0,3.06,0,0.77,0,0,0,0,0,0
120,0,0,3.92,3.92,9.8,0,1.96,5.88,1.96,0,5.88,0,1.96,0,0,23.52,0,0,1.96,17.64,0,1.96,1.96,0,1.96,7.84,0,0,0,1.96,0,0,0,0
