stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,1.64,0,34.48,0,0,0.82,0,0,0.82,0,0,0,0,0,7.39,0,0,4.1,46.79,2.46,1.64,0,0,4.93,0,0,4.93,0,0.82,0,0
 36-46,0,0,69.29,0,0,4.03,0,0,0,0.81,0,0,0,0,9.67,0,0,0.81,59.62,0,0.81,0.81,0,3.22,0.81,0.81,12.89,0,0,0,0.81
 48-58,0.57,0,48.77,0,0.57,1.72,0,0,0,0.57,0,0,0,0,6.31,0,0.57,1.15,37.87,0.57,0,0,0,1.15,0,0,5.16,0,0,0,0
 60-70,0,0,58.89,0.98,0,2.94,0.98,0.98,0,0.98,0,0,0,0.98,5.89,0.98,0,0,42.21,0,0,0,0,4.91,0,0,1.96,0,0,0,0
 72-82,1.96,0.98,57.92,0,0,3.93,0,0,0,0,0,0.98,0,0,11.78,0,0,0.98,27.49,0,0,0,0,1.96,0,0,4.91,0.98,0.98,0.98,1.96
 84-94,1.06,1.06,47.79,0,0,2.12,0,0,0,0,0,0,0,0,4.25,0,0,0,8.5,0,1.06,0,0,0,0,0,0,0,0,1.06,0
 96-106,2.19,0,30.6,0,0,0,0,0,0,0,1.09,0,1.09,0,2.19,0,0,0,6.56,0,0,0,0,1.09,0,0,0,0,1.09,0,0
108-118,3.06,0,37.53,0,0.77,1.53,0,0,0,0,0,0,0,0,9.96,0,0,2.3,11.49,0.77,0.77,0,0.77,2.3,0,0,0,0.77,0.77,0,0.77
120,1.96,0,37.24,0,0,0,0,0,0,1.96,0,0,0,0,3.92,0,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0,0
