stage,endoderm,epidermis,eye,ionocyte,iridophores,mesenchyme,neural,olfactory,periderm,spinal.cord
  3-4,0,0,0,0,0,0,0,0,13.18,0
  5-6,0,0,0,0,0,0,0,0,6.13,0
 14-21,2,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0.82,2.46,0,6.57,0
 36-46,0,0,0,0,0,0,4.03,0,5.64,0.81
 48-58,0,0,1.15,0,0,0,1.72,0,1.72,0.57
 60-70,0,0,0,0,0,0,5.89,0.98,2.94,0
 72-82,0,0.98,1.96,0.98,0.98,0,9.82,0,6.87,0
 84-94,0,0,1.06,0,0,0,2.12,0,3.19,0
 96-106,0,1.09,0,0,0,0,1.09,0,5.46,0
108-118,0,0,0,0,0,0,0.77,0,5.36,0.77
120,0,1.96,0,0,0,0,5.88,0,5.88,0
