stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,7,0,0,0,0,0
 24-34,0.82,0.82,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,143.65,0.82,0,0,0,0.82,0,44.33,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,2.42,0,0,0,0,0,0,0,0,0,0,301.32,0,0,0,0,0,0,62.04,0,0,0,0,0
 48-58,0,0,0,0,9.75,0,3.44,0,0,0.57,0,0,0,1.72,0,0.57,0.57,434.37,0,0,0.57,0,0,0,48.77,0,0,0.57,0,0
 60-70,0,0,0,0,47.11,0,9.82,0,0.98,0,0,0,0,6.87,0,0,0,959.93,0,0,0,0,1.96,0,50.06,0,0,0,0,0.98
 72-82,0,7.85,1.96,0,107,0,22.58,1.96,0,0,0,0,0,20.61,0.98,0.98,0.98,1453.84,0,0,0.98,0,0,0,47.12,0,0.98,0.98,0.98,0
 84-94,0,5.31,1.06,0,81.78,0,20.18,0,0,1.06,0,1.06,1.06,8.5,0,0,1.06,645.72,0,0,1.06,0,2.12,0,25.49,0,0,0,0,1.06
 96-106,0,8.74,2.19,0,76.5,0,18.58,0,0,0,0,0,0,6.56,0,1.09,1.09,627.29,0,1.09,0,0,1.09,0,14.21,0,1.09,2.19,0,0
108-118,0,6.89,0.77,0.77,65.11,0.77,11.49,0.77,0,1.53,0.77,0.77,0.77,9.19,0,0,0.77,765.96,0,0.77,0,0,2.3,0.77,10.72,1.53,0,2.3,0,0
120,0,11.76,0,0,68.59,0,5.88,0,0,0,0,0,0,15.68,0,0,3.92,979.89,0,0,0,0,1.96,0,17.64,0,0,0,0,0
