stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0
 24-34,1.64,0,0,0.82,0,0,0.82,1.64,0,0,1.64,0,0.82,0,0,0,0.82,4.1,0,0,2.46,8.21,0,1.64,0,0,4.1,0,0,0,0,0,0,4.1,0,0.82
 36-46,2.42,0,0,3.22,0,0.81,0,0.81,0,0,1.61,0,0.81,0,0,0,0.81,5.64,0,0,1.61,3.22,0,0,0,0,5.64,0,0,0,0.81,0,0,0.81,0,1.61
 48-58,0.57,0,0,2.87,0,0,0.57,2.87,0,0,0,0,0.57,0,0,0,1.15,4.02,1.15,0,2.3,5.16,0.57,0.57,0,0,6.31,0,1.15,0,0.57,0,0,1.15,0,1.72
 60-70,0.98,1.96,0,4.91,0,1.96,0,8.83,0,0,0,0,0,0,0.98,0.98,0.98,13.74,0,0.98,0.98,0.98,0.98,0,0.98,0,9.82,0,0,0.98,1.96,0,1.96,0.98,0.98,8.83
 72-82,2.94,3.93,0,2.94,0.98,0,4.91,20.61,0.98,0,1.96,0,1.96,0,0.98,0,0,46.14,0,2.94,0,5.89,0,0.98,0,0.98,21.6,0,0,0.98,0.98,0,0.98,0.98,3.93,1.96
 84-94,2.12,3.19,0,12.74,0,4.25,1.06,15.93,1.06,2.12,1.06,1.06,3.19,2.12,1.06,0,0,20.18,1.06,1.06,2.12,4.25,1.06,2.12,0,0,44.61,0,1.06,0,1.06,2.12,3.19,3.19,3.19,2.12
 96-106,8.74,1.09,0,6.56,1.09,4.37,0,27.32,1.09,0,1.09,0,7.65,0,0,1.09,2.19,33.88,2.19,6.56,0,8.74,0,1.09,2.19,1.09,27.32,0,2.19,1.09,0,2.19,1.09,6.56,8.74,4.37
108-118,12.26,2.3,0.77,2.3,0,6.13,3.06,10.72,8.43,0,2.3,0,5.36,3.83,3.83,2.3,0.77,26.81,0,0,2.3,9.96,0,3.06,2.3,1.53,38.3,0,1.53,0,1.53,3.06,2.3,3.06,3.83,3.06
120,13.72,0,0,5.88,0,1.96,0,13.72,13.72,0,1.96,1.96,3.92,0,1.96,0,1.96,25.48,3.92,5.88,3.92,1.96,1.96,1.96,1.96,0,43.12,1.96,1.96,0,0,0,1.96,5.88,1.96,1.96
