stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,6,3,2,0,0,0,1,0,0,4,0,0,0,0,0,3,0,0,4,47,0,3,0,2,0,0,3,0,2,6,27,0,0,1,0,0
 24-34,0,0,0,1.64,5.75,0,9.03,0,0,0.82,1.64,0,0,4.1,0,0,0.82,4.1,0,8.21,0,0,0.82,137.08,0,2.46,2.46,0,0.82,0,0,0,0.82,3.28,73.88,0,0,4.93,0,0.82
 36-46,0,0,0,0,0.81,0,11.28,0,0,0,4.83,0,0.81,0,0.81,0,0.81,0.81,0,19.34,0,0,3.22,172.41,0,0,0.81,0,0,0,0,0,0,0,55.59,0,0,3.22,0,0
 48-58,0,0,0,0,0,0.57,37.3,0,0,1.72,12.05,0,1.15,0.57,0,0,1.15,0.57,0.57,27.54,0,1.15,5.16,158.37,0,0,1.72,0,0,0,0,0,0.57,0,42.46,0,0.57,5.74,0,0.57
 60-70,0,0,2.94,0,1.96,0,91.28,0,1.96,2.94,6.87,0,0,0.98,0,0,0,0,0,43.19,0.98,0.98,4.91,117.78,0,1.96,0.98,0,0.98,0,0,0,0,0,20.61,0,0,4.91,0,0.98
 72-82,0,0,3.93,0,2.94,0,102.09,0,0,3.93,8.83,1.96,0,0.98,0.98,0,2.94,0.98,0,52.03,2.94,2.94,4.91,94.24,0.98,2.94,1.96,0,0,0,0,0,0,0,9.82,0.98,0.98,7.85,0,0.98
 84-94,0,0,1.06,0,1.06,0,69.03,0,2.12,4.25,7.43,1.06,0,2.12,1.06,1.06,0,1.06,0,31.86,1.06,0,2.12,36.11,0,1.06,4.25,0,0,0,0,0,0,0,8.5,0,1.06,5.31,0,0
 96-106,0,0,0,0,3.28,1.09,42.62,0,1.09,1.09,6.56,6.56,0,4.37,1.09,1.09,0,5.46,0,28.41,1.09,0,0,41.53,0,3.28,4.37,0,1.09,1.09,0,1.09,0,0,3.28,1.09,0,5.46,0,1.09
108-118,0,0,0,0,5.36,0,26.04,0,0,1.53,4.6,8.43,0,0,1.53,0.77,0.77,3.06,0.77,22.98,0.77,0,0,49.79,0.77,2.3,0.77,0,0.77,0,0,0.77,0.77,0,2.3,0.77,0.77,4.6,0.77,0
120,0,0,1.96,0,7.84,0,11.76,1.96,0,1.96,7.84,7.84,0,0,9.8,0,0,0,0,11.76,0,0,0,50.95,0,0,7.84,0,0,0,0,0,0,0,5.88,1.96,1.96,5.88,0,0
