stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,7,1,0,0,0,1,0,2,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0.82,0,0,0,0,1.64,0,0,0.82,4.93,0,0,0.82,2.46,0,0,0,3.28,0,0,0
 36-46,0.81,0.81,0,0,1.61,0,0,0,0,0,0,0,3.22,0,0,0.81,15.31,0,0,0,1.61,0,0.81,0,3.22,0,0,0
 48-58,0.57,1.72,0.57,0.57,0,0,0,0,0,0,0,0,1.15,0,0,0,16.07,0,0.57,0,0.57,0,0,0,5.74,0,0,0
 60-70,0,15.7,0,0.98,2.94,0,0,0,0,0,0,0,3.93,0.98,0,0,37.3,0,2.94,0,0,0,0,0,8.83,0,0,0
 72-82,0,6.87,0,0,3.93,0,0,0,0,0,0,0,1.96,0,0,0,27.49,0,0.98,0,0,0,0,0,2.94,0,0.98,0
 84-94,0,6.37,0,0,3.19,0,0,1.06,0,1.06,0,0,3.19,0,0,0,7.43,0,0,1.06,1.06,0,0,0,3.19,0,0,0
 96-106,0,6.56,1.09,0,1.09,0,0,1.09,0,1.09,1.09,0,3.28,0,1.09,0,6.56,0,0,0,2.19,0,0,0,1.09,1.09,2.19,0
108-118,0,3.06,0,0,0.77,0,0,0.77,1.53,0,0,0.77,0.77,0,0,0,3.06,0,0,2.3,1.53,0,0,0,0,0,0.77,0.77
120,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0
