stage,blastomeres,eye,glial,gut,lateral.line,mesenchyme,muscle,neural,olfactory,otic,pronephros,spinal.cord
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,3.15,3.15,0,0,0,0,0,34.62,0,0,0,0
 14-21,0,0,7,0,0,0,0,3,0,1,0,10
 24-34,0,0,1.64,0,0,0,0.82,2.46,2.46,0,2.46,6.57
 36-46,0,0,1.61,0,0,0,0,4.83,0.81,0,0,5.64
 48-58,0,0,2.87,0,0,0,0,2.87,2.87,0,0,5.16
 60-70,0,0,3.93,0,0.98,0,0,4.91,0.98,0,0,4.91
 72-82,0,0.98,2.94,0,0,0,0,0.98,0.98,0,0,0.98
 84-94,0,1.06,6.37,1.06,0,1.06,1.06,3.19,2.12,3.19,0,2.12
 96-106,0,0,2.19,0,0,0,0,3.28,2.19,0,0,0
108-118,0,0,1.53,0,2.3,0,0,1.53,0.77,0,0,0.77
120,0,0,1.96,0,0,0,0,0,0,0,0,0
