stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,1291.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,159.37,1072.69,0,6.13,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,42.06,10.51,0,47.32,0,0,5.26,0,0,0,0,0,68.35,0,0,0,0,0,0,0,0,0,0,0,383.79,44.69,0,0,110.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.47,25.18,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,19,6,3,0,0,0,2,5,0,0,0,0,0,0,0,0,21,0,0,3,162,2,0,4,5,0,0,3,1,0,5,108,0,1,0,0
 24-34,0,0,0.82,0,0.82,0.82,9.03,0,0,0,8.21,0,0,0.82,0,0,0,0,0,0,10.67,0,0.82,4.93,517.14,0,0,0.82,0,0,0.82,0,0,0,4.93,183.05,0,4.93,0,0
 36-46,0,0,0,0,0.81,0,13.7,0,0,0.81,57.2,0,0,1.61,2.42,0,0,0,0,0,6.45,0,0,4.83,776.67,0.81,0,3.22,0,0,0.81,0,0,0,0,161.94,0,3.22,0,0
 48-58,0,0,0,0,2.87,0,71.73,0.57,1.15,1.15,135.99,0,0,0,6.89,0,1.72,0,0,0,16.07,1.15,0,2.3,625.45,0,1.15,4.59,0,0,2.3,0,0,0,0,147.47,0,3.44,0,1.15
 60-70,0,0,0,0,0,0,114.84,0,0,0.98,153.12,0,0,0,7.85,0,12.76,1.96,0.98,0,16.69,0,3.93,0,392.61,0,0,5.89,0,0,0,0,0.98,0.98,0,76.56,0,0,0,1.96
 72-82,0,0,0,0,2.94,0,144.3,0,0,2.94,143.32,0,0,0,8.83,0,15.71,1.96,0,0,19.63,0,0,0,246.4,0,0,15.71,0,0,0,0,0,0,0,48.1,0,0.98,0.98,0
 84-94,0,0,0,0,1.06,0,107.27,0,1.06,1.06,87.09,1.06,1.06,0,16.99,0,7.43,4.25,1.06,1.06,15.93,1.06,0,2.12,138.06,0,0,23.36,0,0,1.06,0,0,0,0,19.12,1.06,0,0,1.06
 96-106,0,0,0,0,12.02,0,96.17,1.09,1.09,2.19,74.31,0,0,0,14.21,0,4.37,5.46,3.28,0,9.84,0,0,0,125.68,0,0,29.51,0,0,3.28,0,0,0,0,10.93,0,0,1.09,2.19
108-118,0,0,0,0,2.3,0,52.09,0,0.77,0,53.62,0,0,0,15.32,0.77,3.83,5.36,0.77,0,9.19,0,0,0,127.92,0,0,27.57,0,0.77,0,0,0,0,0,9.96,0.77,0.77,0.77,0
120,1.96,0,0,0,1.96,0,29.4,0,0,0,48.99,0,0,0,21.56,0,3.92,5.88,0,0,9.8,0,0,1.96,160.7,0,0,23.52,0,0,1.96,0,0,0,0,13.72,0,0,0,3.92
