stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,60,22,1,0,0,0,0,0,1,2,0,0,0,0,77,0,0,63,16,0,1,0,0,0,2,1,1,3,5,0,22,0,0
 24-34,0,0,0.82,24.63,0,3.28,0,0,1.64,1.64,0.82,0.82,4.93,0,0,0.82,0.82,129.7,0,0,61.56,21.34,0.82,0,0,0,0,0,0,0,0.82,4.93,0,32.83,0,0
 36-46,0,0,0,11.28,0,24.98,0,0,4.03,0,0.81,0,5.64,0,0,2.42,0,256.2,0,0.81,76.54,16.11,3.22,0.81,0,1.61,0,0,0.81,0,0,2.42,0.81,41.09,0,0
 48-58,0,0,0,4.59,0,103.86,0,1.15,7.46,7.46,0,0,8.03,0,0,0.57,0,276,0.57,8.03,41.89,21.23,1.72,1.72,0,1.72,0,0,0.57,0.57,0,3.44,1.15,32.13,0,0
 60-70,0,0,0,2.94,0.98,219.86,1.96,0.98,5.89,23.56,0,0,11.78,0,0,0.98,0,369.05,0,6.87,40.24,16.69,0,0.98,0,1.96,0,0,0,0,0,1.96,6.87,27.48,3.93,0
 72-82,0,0,0,4.91,2.94,125.65,0.98,0,18.65,38.28,0.98,0,14.72,0.98,0.98,4.91,0,448.62,0,13.74,40.25,23.56,0,2.94,0,0,0,0,0,0,0,0.98,16.69,55.95,14.72,0
 84-94,0,0,0,6.37,1.06,104.08,0,0,19.12,35.05,0,0,19.12,1.06,1.06,0,0,287.81,0,21.24,22.3,12.74,1.06,6.37,0,2.12,0,0,0,0,0,2.12,10.62,41.42,13.81,0
 96-106,0,0,0,10.93,0,71.04,1.09,1.09,8.74,29.51,0,0,30.6,0,2.19,2.19,0,288.51,0,8.74,32.79,32.79,1.09,6.56,0,2.19,0,0,2.19,1.09,0,2.19,5.46,49.18,18.58,0
108-118,0,0,0.77,5.36,0.77,45.19,0,0,14.55,25.28,0,0,11.49,0.77,8.43,1.53,0.77,231.32,0,10.72,22.21,20.68,0,1.53,0,3.83,0.77,0,0,0,0,0,4.6,47.49,13.02,0
120,0,0,0,0,0,35.28,0,0,5.88,9.8,0,0,15.68,0,1.96,3.92,0,143.06,0,3.92,25.48,9.8,0,0,0,0,0,0,0,0,0,0,1.96,21.56,13.72,1.96
