stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,698.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,13.14,0,42.06,0,0,34.17,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,328.59,13.14,0,0,128.81,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,3.15,44.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.14,12.59,0,0,110.14,0,3.15,0,25.18,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,13,8,7,0,0,0,2,1,0,0,0,0,0,0,0,0,12,0,0,13,151,2,0,2,4,0,1,20,1,0,21,44,0,0,0,0,0
 24-34,0,0,0,0,6.57,0.82,19.7,0,0.82,0.82,4.1,0.82,0,0,0,0.82,0,1.64,0,0.82,9.85,0,0,11.49,162.53,0,1.64,0.82,0,0,4.1,0,0,0,3.28,36.12,0,0,4.1,0,0
 36-46,0,0,0,0,2.42,0,31.42,0,0,0,3.22,0.81,0,1.61,0,0,0.81,0.81,0,0.81,21.75,0.81,0,6.45,148.24,1.61,3.22,0,0,0,3.22,0,0.81,0,0,30.62,0,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,29.84,0,0,0.57,7.46,0.57,0.57,0.57,0,0,0.57,0,0,1.15,22.95,0.57,1.72,4.02,100.99,0,0.57,0,0,1.15,0.57,0,0,0,0,19.51,0,0,2.87,0,0.57
 60-70,0,0,0,0,1.96,0,28.46,0,1.96,0,4.91,0,0,0,0,0,0.98,0,0,0,14.72,0,0,1.96,75.58,0,0,0,0,0,1.96,0,0,0,0,8.83,0,0.98,0.98,0,0.98
 72-82,0,0,0,0,1.96,3.93,43.19,0,0.98,4.91,17.67,0.98,0,0.98,0,0,0,0,0,0,29.45,0,3.93,5.89,86.39,0.98,0,0.98,0,0,0,0,0,0,0,12.76,1.96,0.98,1.96,0,0
 84-94,0,0,0,0,10.62,7.43,32.92,0,1.06,1.06,8.5,1.06,0,1.06,2.12,0,2.12,2.12,0,0,28.68,0,0,3.19,50.98,1.06,0,0,0,0,5.31,0,0,0,0,5.31,0,1.06,2.12,0,1.06
 96-106,0,0,0,0,2.19,2.19,18.58,0,0,1.09,13.11,0,0,0,1.09,0,1.09,1.09,0,0,31.69,0,0,2.19,43.71,0,2.19,4.37,0,0,9.84,0,0,0,0,3.28,1.09,1.09,2.19,1.09,3.28
108-118,0,0,0,0,6.13,5.36,21.45,0.77,0.77,0,7.66,2.3,0,0,2.3,0,1.53,0,0.77,0.77,24.51,0,0.77,2.3,62.04,1.53,0.77,0.77,0,0,3.83,0,0,0.77,0,0.77,0.77,1.53,2.3,0.77,0.77
120,0,0,1.96,0,7.84,5.88,21.56,0,0,1.96,3.92,0,0,0,1.96,0,0,0,0,0,17.64,0,0,3.92,43.12,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,1.96,1.96,0
