stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,0,0,0,25.18,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,14,1,0,137,1,0,1,0,2,1,0,18,0,0,0,0,0
 24-34,0,0,0,0,4.1,1.64,0,10.67,0,0,0,2.46,0,0,0,0,0,0,0,0,0,6.57,0,0,1.64,100.97,0.82,0.82,233.12,0,0,5.75,0,0,0.82,0.82,27.91,0,0,0.82,0,0.82
 36-46,0,0,0,0,1.61,0.81,0,12.89,0,0,0.81,3.22,0,0,0.81,1.61,0,0,0,0,1.61,4.83,0,0.81,4.83,87.01,0.81,0,144.21,0,0,6.45,0,0,0,1.61,18.53,0,0,2.42,0,0.81
 48-58,0,0,0,0,2.3,0,0,27.54,0,0,0,6.31,0,0,0,0,0,0,0,0,1.15,10.9,0,0,0.57,79.76,0,0.57,121.65,0,0,2.87,0,0,0,0,13.2,0,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,0,24.54,0.98,0,0,6.87,2.94,0,0.98,1.96,0,0,0,0,0.98,9.82,0.98,0,0.98,60.85,0,0,99.13,0,0,0,0,0,0,0,0.98,0,0.98,0,0.98,0
 72-82,0,0,0.98,0,5.89,0.98,0,29.45,0,0,0,14.72,1.96,0,0,2.94,0,0,2.94,0.98,0,23.56,0,0.98,0.98,77.55,0,1.96,160.01,0,0,4.91,0.98,0,0,0,6.87,0,0,1.96,0.98,0
 84-94,0,0,0,0,5.31,0,0,30.8,0,1.06,0,12.74,0,0,0,2.12,2.12,0,0,2.12,1.06,14.87,0,0,1.06,41.42,1.06,0,195.41,0,0,4.25,0,0,0,0,1.06,0,0,2.12,1.06,1.06
 96-106,0,0,0,0,28.41,7.65,0,44.81,0,6.56,0,21.86,2.19,0,0,4.37,4.37,1.09,5.46,5.46,0,32.79,3.28,2.19,2.19,67.76,0,2.19,217.48,0,2.19,10.93,0,0,1.09,1.09,3.28,2.19,1.09,1.09,0,1.09
108-118,0,0,0.77,0,9.96,3.83,1.53,42.89,0,1.53,0.77,17.62,0,0,0.77,2.3,0.77,0.77,1.53,1.53,1.53,24.51,1.53,1.53,1.53,81.19,3.83,2.3,227.49,0,0,9.19,0,0,0.77,0,2.3,0,0.77,1.53,0,3.06
120,1.96,0,0,0,27.44,5.88,0,27.44,1.96,3.92,0,19.6,3.92,0,1.96,1.96,3.92,0,0,1.96,0,21.56,0,0,0,66.63,0,0,178.34,0,0,7.84,0,0,0,0,0,0,0,0,1.96,1.96
