stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,15,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,8,24,0,0,1,1,0,1,0,11,1,236,111,26,0,0,0,1
 24-34,0,0,0,0,5.75,2.46,4.1,112.46,0.82,0.82,1.64,0.82,0,0.82,0,0.82,0,0,0.82,0,8.21,0,1.64,32.01,59.92,0.82,0,0.82,0,0.82,6.57,0,0.82,0,183.87,91.94,16.42,0,0.82,0,0
 36-46,0,0,0,0,0.81,0.81,10.47,238.48,0.81,0,3.22,0,0,4.03,0,0,0,0,0.81,1.61,28.2,0.81,0,29,72.51,2.42,0,0,0,0.81,5.64,0,0,0,140.99,2.42,14.5,0,4.03,0,0
 48-58,0,0,0,0.57,5.16,1.72,18.94,113.61,0,0.57,4.02,0,0,1.15,0,0,0.57,0.57,0,0.57,28.12,0,1.15,12.05,51.64,0.57,0,1.15,0,0.57,1.72,0,0,0,59.68,0,15.49,0,0,0,1.15
 60-70,0,0,0.98,0,1.96,1.96,18.65,94.23,0,3.93,4.91,0,0,0.98,0,0,0,0,0,0.98,34.35,0,0.98,13.74,55.95,0.98,0.98,0,0.98,0,1.96,0,0,0,36.32,0,6.87,0,0,0,0
 72-82,0,0,0,0.98,1.96,0.98,28.47,63.81,0,1.96,12.76,0,0,0.98,0,0,0,0.98,0,0,30.43,0,2.94,5.89,33.38,0,0,1.96,0,0.98,1.96,0,0,0,15.71,0,6.87,0.98,1.96,1.96,0.98
 84-94,0,0,0,1.06,0,2.12,16.99,93.46,2.12,3.19,1.06,0,0,0,1.06,0,0,0,0,0,27.61,1.06,2.12,10.62,23.36,1.06,1.06,0,0,0,5.31,0,0,0,25.49,0,3.19,0,0,3.19,0
 96-106,0,0,0,0,4.37,8.74,20.76,109.28,2.19,5.46,1.09,1.09,0,1.09,0,0,0,0,1.09,0,33.88,0,1.09,10.93,21.86,2.19,2.19,3.28,1.09,1.09,8.74,0,0,0,32.79,0,2.19,5.46,1.09,0,2.19
108-118,0,0,0,0.77,6.89,1.53,10.72,109.53,2.3,1.53,3.06,0,0,2.3,2.3,0.77,2.3,0,1.53,0,26.04,0,3.83,20.68,20.68,1.53,0.77,0.77,0,0.77,5.36,0,0,0.77,28.34,0,1.53,4.6,1.53,2.3,0.77
120,0,0,0,1.96,5.88,1.96,9.8,74.47,0,1.96,9.8,0,0,1.96,0,0,0,0,0,0,29.4,0,3.92,33.32,27.44,0,0,0,0,1.96,3.92,0,0,0,7.84,0,0,3.92,3.92,3.92,0
