stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,36,2,0,0,1,0,0,2,15,0,0,0,0
 24-34,0,0,0.82,12.31,0.82,0,2.46,0,0.82,0,0,0,0,0.82,0,0.82,0,3.28,0,4.93,0.82,0,0.82,92.76,0.82,1.64,0,0,0.82,0.82,1.64,22.16,0,0,1.64,0
 36-46,0,0,0,4.83,0,0,12.89,0,0.81,0,1.61,0,0,0,0.81,0,0.81,2.42,0,11.28,0,0.81,0.81,82.18,0,1.61,0,0,1.61,0,0,22.56,0,0,0,0
 48-58,0,0,0,0.57,0,0,19.51,0,0.57,0.57,9.75,0,0,0,0,0,0,4.59,0.57,14.35,0,0,0.57,53.94,0,0.57,0,0,0,0,0,9.18,0,0,1.72,0
 60-70,0,0,0,0.98,0,0,31.41,0,0,0,7.85,0,0.98,0,0.98,0.98,0,7.85,0,16.69,0,0.98,0.98,48.09,0,0,1.96,0,0,0,0,9.82,0,0,0.98,1.96
 72-82,0,0.98,0,2.94,0.98,0,13.74,0,0,1.96,5.89,0.98,0.98,0,0,0,0,46.14,0,19.63,0,1.96,0.98,28.47,0,0,2.94,0,0.98,0,0,0,0.98,0.98,2.94,0
 84-94,0,0,0,2.12,0,0,8.5,0,1.06,2.12,5.31,4.25,0,0,0,0,0,101.96,0,16.99,1.06,0,1.06,21.24,0,0,1.06,0,2.12,1.06,0,2.12,0,0,1.06,0
 96-106,0,0,1.09,4.37,0,2.19,6.56,1.09,0,1.09,5.46,4.37,0,0,0,2.19,1.09,222.94,0,17.49,0,0,3.28,32.79,0,1.09,1.09,0,6.56,0,0,2.19,0,0,2.19,0
108-118,0,0,0.77,3.83,0.77,0,9.96,0,3.06,0.77,2.3,2.3,0,0,2.3,1.53,0.77,229.02,0,15.32,0,2.3,0,26.04,0,0,0.77,0,3.83,0,0,1.53,0,0,1.53,0
120,0,0,1.96,1.96,0,0,13.72,0,1.96,0,1.96,3.92,0,0,1.96,0,0,92.11,0,9.8,0,0,0,17.64,0,0,0,0,5.88,0,0,0,1.96,0,0,0
