stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,otic,periderm,slow_muscle,somites,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,0,25,0,0,0,0,0,0,1,0,2,3,0,0
 24-34,0,0,0.82,0,0,55,0,0.82,0,0,0.82,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,24.17,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,32.13,0,1.15,0,0,0.57,1.15,0,0,0,0,0,0
 60-70,0,0,0,1.96,0,37.3,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,71.66,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,89.21,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,3.28,1.09,139.88,1.09,0,1.09,0,2.19,3.28,0,0,0,0,0,1.09
108-118,0,0.77,0.77,1.53,0,104.17,0,1.53,0,0.77,0,2.3,0,1.53,0,0,0,0.77
120,0,1.96,1.96,1.96,0,154.82,0,1.96,0,0,0,3.92,0,0,0,0,1.96,0
