stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,22,465,7,29,0,0,0,8,15,3,1,0,1,0,0,1,1,83,0,0,65,1960,5,2,1,0,2,19,0,3,165,408,0,0,1,0,0
 24-34,0,8.21,189.62,0.82,61.56,0,4.93,0,27.09,3.28,0,3.28,0,0.82,0.82,2.46,2.46,0,145.29,2.46,0.82,48.43,2345.19,10.67,1.64,3.28,0,0.82,0,0,0,0.82,524.53,0,0,3.28,0,0
 36-46,0,0.81,46.73,0,41.09,0,0.81,0,95.87,0,0,2.42,0,0,0,0.81,0.81,0,240.09,0.81,8.86,23.36,1185.14,3.22,0.81,0.81,1.61,2.42,0,0,0,0,385.11,0,0,1.61,0,2.42
 48-58,0,0,22.95,0.57,57.95,0,4.59,0.57,160.09,0,0,0.57,0,0.57,0,0.57,0,0,430.35,0,8.61,14.35,410.27,5.74,0.57,1.72,1.72,1.72,0,1.15,0,0,165.26,0,0.57,0.57,0.57,0.57
 60-70,0,0,18.65,0.98,60.85,0,4.91,0,242.44,0,0,0.98,0.98,1.96,0,0.98,0,0,718.47,0,0.98,4.91,195.32,0,0.98,0.98,0,0,0,0,0,0,60.85,0,5.89,0.98,0,2.94
 72-82,0.98,0,19.63,0,71.66,0.98,1.96,0.98,273.88,0,0,0,0,0,0.98,1.96,0,0,887.42,0.98,3.93,7.85,175.72,0.98,1.96,0.98,0.98,0.98,0,0.98,0,0,23.56,0.98,8.83,0,4.91,0
 84-94,0,0,24.43,0,99.83,0,5.31,2.12,197.54,0,0,1.06,1.06,0,0,2.12,0,0,626.6,0,8.5,7.43,128.51,0,0,2.12,0,4.25,0,1.06,0,0,21.24,0,5.31,0,8.5,0
 96-106,0,0,25.14,0,88.52,1.09,0,2.19,197.81,2.19,0,0,2.19,2.19,1.09,2.19,0,0,369.38,0,2.19,1.09,87.43,0,0,3.28,1.09,3.28,0,0,0,0,14.21,1.09,4.37,1.09,3.28,0
108-118,0.77,0,33.7,0,46.72,0,1.53,0.77,176.17,1.53,0,0,0.77,0.77,0,2.3,2.3,0,256.6,0,1.53,1.53,118.72,0.77,0,0.77,0,3.06,0,0,0,0,6.13,0.77,1.53,0.77,1.53,0.77
120,0,0,35.28,0,62.71,0,1.96,0,121.51,0,0,1.96,0,0,0,3.92,1.96,0,199.9,0,0,0,94.07,0,0,1.96,1.96,1.96,0,0,0,0,3.92,0,3.92,0,3.92,0
