stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,275.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,0,0,2.63,0,0,0,0,10.51,0,0,0,0,0,0,0,0,44.69,5.26,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,6.29,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,62.94,0,0,0,15.73,0,3.15,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,1,6,222,0,0,0,0,0,1,0,5,0,0,0,0,2,0,1,9,0,0,0,1,1,0,1,0,1,1,5,0,89,0,0
 24-34,0,0,0,1.64,24.63,0,0,0,0,0,0,0,13.13,1.64,0,0,0.82,2.46,0,0.82,14.78,0,0.82,0,0,5.75,0,0,3.28,0,0.82,4.1,0,277.45,0,0
 36-46,0,0,0,0.81,4.03,0,0,0,0,0,0,0,7.25,0.81,0,0,0,0.81,0,0,10.47,0,0,0.81,0,2.42,0,0,0,0,0,0,0,178.86,0,0
 48-58,0,0,0,1.15,1.15,0,1.72,0.57,1.72,0.57,0,0,14.92,1.15,0,0,0,5.74,0.57,0,9.18,0,0,0,0,0,0,0,0.57,0,0,2.3,0,144.6,0,0
 60-70,0,0,0,0.98,1.96,0,3.93,0,0.98,0,0,0,23.56,3.93,0,0,0,51.04,0.98,0,10.8,0,0,0,0,0.98,0,0,0.98,0,0,1.96,3.93,157.04,0.98,0
 72-82,0,0,0,1.96,0,0,3.93,0,0.98,0.98,1.96,0,20.61,0.98,0,0.98,0,87.37,2.94,0.98,5.89,0,0,0,0,0.98,0,0,0,0,0,0.98,1.96,211.06,4.91,0.98
 84-94,0,0,0,3.19,0,0,4.25,0,2.12,0,0,0,11.68,8.5,0,0,0,62.66,0,2.12,5.31,0,0,0,0,0,0,0,0,0,0,1.06,2.12,212.41,1.06,0
 96-106,0,0,0,3.28,0,0,6.56,1.09,0,1.09,2.19,0,24.04,10.93,0,0,0,61.2,1.09,3.28,5.46,0,0,0,0,1.09,0,0,1.09,1.09,0,0,1.09,249.17,0,0
108-118,0,0,0,3.06,0.77,0.77,5.36,2.3,1.53,2.3,0,0,9.19,11.49,1.53,0,0.77,52.85,0,2.3,5.36,0,0,0,0,2.3,0,0,1.53,0,0,0,1.53,187.66,0.77,0
120,0,0,0,9.8,0,0,0,1.96,0,0,0,0,1.96,9.8,0,0,0,27.44,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0,0,1.96,201.86,1.96,0
