stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,1,7,0,0,0,0
 24-34,0,0.82,0,0.82,3.28,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0.82,190.44,0.82,1.64,0,0,0,0,36.94,0,0,0,0
 36-46,0,0,0,0.81,4.03,0,0,0,15.31,0,0,0,0,0,0,0,2.42,0,429.42,0,0,0,0,0,0,100.71,0,0,0,0
 48-58,0,0,0,1.72,19.51,0,0,0,24.1,0.57,0,0,0,0,0,0,2.3,0.57,546.84,0,0,0,0,0,0,107.88,0,0,0,0.57
 60-70,0,0.98,0,0,79.5,0,0,0,44.17,0,0,0,0,0,0,0.98,3.93,1.96,982.5,0,0,0,0,0.98,0,133.49,0,0.98,0,0.98
 72-82,0,2.94,0,6.87,120.74,0,0.98,0.98,46.14,1.96,0,0,2.94,0,0,0,10.8,0.98,956.14,0,0,0,0,0,0,79.51,0,0.98,0,0.98
 84-94,0,2.12,0,6.37,86.03,0,0,0,20.18,2.12,0,0,0,0,1.06,0,6.37,2.12,482.16,0,0,1.06,0,0,2.12,55.23,0,1.06,0,0
 96-106,0,4.37,0,4.37,67.76,0,1.09,0,20.76,0,0,0,0,0,0,0,1.09,0,408.72,0,1.09,0,0,0,2.19,26.23,0,0,1.09,1.09
108-118,0,3.83,0,2.3,60.51,0,0,0,17.62,3.83,0,0,1.53,1.53,0.77,0,5.36,0.77,415.15,0,0,0,0,0,1.53,23.74,0.77,0,0,0
120,0,0,0,1.96,62.71,1.96,0,0,13.72,1.96,0,1.96,0,0,0,0,5.88,0,548.74,0,1.96,1.96,0,0,1.96,27.44,0,1.96,0,0
