stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,57.46,0,0,0,0,2.46,9.85,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,184.5,0,0,0.81,0,0.81,19.34,0,0.81,0,0
 48-58,0,0,0,0,6.89,0,0,0,1.72,0,0,0,0,0,0,0,0,2.87,0,0,1.15,143.45,1.15,2.87,0,0,1.15,18.36,0,0.57,0,0.57
 60-70,0,0,1.96,0,39.26,1.96,1.96,0,7.85,0.98,0,0.98,0,0,0,0.98,0,9.82,0,0.98,1.96,704.73,0,0,0,0,2.94,33.37,0,1.96,0,0
 72-82,0,0.98,4.91,2.94,161.97,0.98,0,0.98,10.8,0.98,0,0.98,0,0,0,0.98,0,25.52,0,0,0,720.54,0,0.98,0,0,0,23.56,0,0,0,1.96
 84-94,0,0,9.56,7.43,148.69,2.12,1.06,1.06,21.24,0,1.06,0,1.06,1.06,0,0,1.06,14.87,0,1.06,4.25,629.79,0,1.06,2.12,0,6.37,11.68,0,1.06,1.06,1.06
 96-106,0,1.09,16.39,4.37,191.25,1.09,3.28,0,22.95,4.37,0,0,0,0,0,6.56,0,21.86,0,1.09,2.19,684.12,1.09,2.19,0,2.19,12.02,17.49,1.09,2.19,0,3.28
108-118,0,0.77,10.72,4.6,190.72,1.53,0.77,0,31.4,0.77,0,0.77,0,1.53,0,0,0.77,19.92,0,0,1.53,860.94,0,3.06,1.53,0.77,6.13,11.49,1.53,1.53,0.77,0
120,0,1.96,27.44,3.92,158.74,0,3.92,0,19.6,3.92,0,9.8,0,0,1.96,5.88,0,21.56,1.96,1.96,1.96,1266.02,0,9.8,3.92,0,9.8,15.68,0,0,0,0
