stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1159.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,24.52,343.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,10.51,0,0,28.92,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,205.04,5.26,0,0,99.89,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,18.88,0,0,53.5,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,538.13,6.29,0,0,173.08,0,15.73,0,3.15,6.29,0,0,0,0,0
 14-21,0,0,0,1,35,4,17,0,0,0,8,1,0,0,0,0,0,0,0,0,16,0,0,15,264,3,2,4,6,4,1,14,2,22,81,0,1,0,0
 24-34,0,0,0,1.64,5.75,0.82,71.41,0,0.82,0,5.75,0,0,1.64,0.82,0.82,0,0,0.82,0,45.97,0,0.82,16.42,426.85,1.64,2.46,4.1,0,13.13,0,0,0.82,4.1,89.47,0,10.67,0,0.82
 36-46,0,0,0,0.81,2.42,0,93.46,0,0.81,0,12.09,0.81,0,0,0.81,0.81,0.81,0.81,0.81,0,44.31,0,1.61,14.5,274.73,0,0.81,2.42,0,3.22,0,0,0.81,0,64.45,0,4.03,0,0
 48-58,0,0,0,0.57,2.87,0,84.92,0,0,2.87,24.67,0.57,0,0.57,0,0,1.15,1.15,0.57,0.57,48.77,0,1.72,11.48,125.66,0,1.15,0.57,0,3.44,0,0,0,0,23.53,0,1.72,0,1.15
 60-70,0,0,0,0,5.89,0,97.17,0,0,2.94,27.48,0,0,0,0,0,0.98,0.98,1.96,0,39.26,0,1.96,6.87,117.78,1.96,0.98,0.98,0,1.96,0.98,0,0.98,0,7.85,0,0.98,0.98,0
 72-82,0,0,1.96,0,4.91,0.98,29.45,0,0,3.93,26.5,0.98,0,0.98,0,0,1.96,2.94,0,0,50.06,0.98,0.98,6.87,79.51,0.98,1.96,0.98,0,6.87,0,0,0,0,4.91,0,7.85,1.96,0
 84-94,0,0,0,1.06,9.56,0,37.17,0,2.12,2.12,15.93,0,0,0,2.12,1.06,1.06,1.06,3.19,0,43.54,1.06,3.19,4.25,48.85,0,1.06,1.06,0,7.43,0,0,1.06,0,1.06,1.06,12.74,0,0
 96-106,0,0,0,0,6.56,1.09,10.93,0,3.28,3.28,25.14,0,0,0,2.19,0,3.28,0,0,0,30.6,2.19,1.09,4.37,48.09,0,1.09,5.46,0,13.11,1.09,0,0,0,2.19,0,9.84,0,0
108-118,0,0,0,0.77,10.72,1.53,29.11,0,2.3,0.77,15.32,3.06,0,1.53,2.3,0,0.77,0,1.53,0,26.81,0,2.3,7.66,65.11,0.77,3.06,1.53,0,7.66,1.53,0,0,0,2.3,0,6.89,0.77,0
120,0,0,0,0,7.84,0,33.32,1.96,1.96,3.92,29.4,0,0,0,9.8,0,0,0,1.96,0,25.48,0,1.96,3.92,78.39,0,0,0,0,3.92,0,0,0,0,3.92,1.96,15.68,1.96,1.96
