stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,69,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,2,2,7,2,0,0,0,0
 24-34,0,0,59.1,0,0,0,0,0,0,0,0,0.82,0,2.46,0,0,0,0,23.8,0,5.75,1.64,8.21,1.64,0.82,0,1.64,0.82,0,0,9.85,0,0,0,0
 36-46,0,0,58.01,0.81,0,1.61,0.81,0,0,0,0,0,0,0,0,0,0,0,27.39,0,24.17,0,15.31,0.81,0,0.81,0.81,0,0,0,7.25,0,1.61,0,0
 48-58,0,0.57,80.91,0,0,5.74,0,0.57,0.57,4.02,0,0.57,0,1.15,0,0.57,0,0,26.4,1.72,67.14,0,16.07,0.57,0,3.44,6.31,2.3,0,0,9.75,0,4.02,2.3,0.57
 60-70,0,0,86.37,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0.98,0,21.59,1.96,65.76,4.91,11.78,0,0.98,0.98,5.89,0,0,0,0,0.98,22.58,0,13.74
 72-82,0,0.98,96.2,0,0,8.83,0.98,0,0.98,0,0.98,0.98,0.98,0.98,0,0.98,0,0,15.71,0,56.94,6.87,21.6,0,0,0,7.85,0.98,0,0,2.94,13.74,27.49,0,36.32
 84-94,0,0,168.86,0,0,20.18,2.12,1.06,1.06,5.31,3.19,1.06,1.06,1.06,0,0,0,0,14.87,0,60.54,10.62,7.43,0,0,2.12,4.25,2.12,0,0,1.06,43.54,27.61,7.43,45.67
 96-106,0,1.09,160.65,1.09,0,13.11,3.28,3.28,0,3.28,14.21,0,3.28,1.09,2.19,0,2.19,0,14.21,0,39.34,9.84,19.67,0,0,0,13.11,3.28,0,0,2.19,85.24,16.39,3.28,50.27
108-118,0,0.77,127.15,0,0.77,5.36,0.77,0,0.77,0.77,13.02,1.53,0.77,2.3,0,0,0,0.77,6.89,2.3,26.81,9.19,12.26,1.53,0,0,8.43,0.77,0,0,0,88.85,6.89,0.77,21.45
120,0,0,68.59,0,0,3.92,3.92,3.92,0,0,7.84,0,1.96,1.96,0,1.96,0,0,0,3.92,19.6,7.84,13.72,0,1.96,1.96,5.88,0,0,0,0,11.76,17.64,1.96,27.44
