stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,2,2,24,1,0,2,1,0,1,2,3,0
 24-34,0,0,0,0,2.46,0,0,3.28,0.82,23.8,0,0.82,0,0,0,0,0,1.64,0
 36-46,0,0,4.83,0,0.81,0,0,0,0,25.78,0,0,0,0,0,0,0,4.03,0
 48-58,0,0,11.48,0,0,0,0.57,4.59,1.15,16.07,0,0,0,0,0,0,0,1.72,0
 60-70,0,0,12.76,0,0,0,0,6.87,0,22.58,0,0,0,0,0,0,0,3.93,0
 72-82,0,0.98,5.89,0,0.98,0,0,3.93,0,10.8,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,2.12,1.06,1.06,1.06,0,3.19,1.06,3.19,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,2.19,0,0,0,0,2.19,0,7.65,0,0,0,0,0,0,0,1.09,0
108-118,0,0,3.83,0,0,0,0,4.6,0,5.36,0,0,0,0,0,0,0,0,0
120,0,0,3.92,0,3.92,0,0,1.96,0,11.76,0,0,0,0,1.96,0,0,0,0
