stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,37,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,1.64,0,0.82,1.64,0,0,9.85,0.82,0.82,169.1,0,0.82,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,1.61,0,0,2.42,0,0,4.83,0,0,182.89,0,0,0,0,0.81,0,0
 48-58,2.87,0,2.87,0,0.57,0,0,0,0,0,2.3,0,0.57,6.89,0,0,154.93,0,2.3,0,0,2.87,0,0
 60-70,7.85,0,3.93,0.98,0.98,0,0,0.98,0,1.96,5.89,0,0,7.85,0,0,182.56,0.98,0.98,0,0,0.98,0,0.98
 72-82,19.63,0,5.89,0.98,0.98,1.96,0,1.96,0.98,0.98,3.93,0.98,0,4.91,0,0,148.23,0,0,0.98,0,5.89,0,0
 84-94,35.05,0,1.06,5.31,1.06,1.06,0,1.06,0,2.12,2.12,0,1.06,3.19,0,0,431.19,1.06,0,0,0,6.37,0,0
 96-106,52.46,0,2.19,2.19,2.19,6.56,0,1.09,0,2.19,6.56,0,0,8.74,0,0,242.61,0,0,0,0,3.28,1.09,0
108-118,41.36,1.53,1.53,3.83,0.77,3.83,2.3,3.06,0.77,1.53,3.06,0.77,0,4.6,0,0,188.43,2.3,0,1.53,0.77,1.53,1.53,0
120,29.4,0,1.96,1.96,1.96,0,7.84,0,0,0,1.96,0,0,3.92,0,0,219.5,3.92,0,1.96,1.96,5.88,0,0
