stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.49,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,0,9.44,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,6.29,0,0,44.06,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,45,2,0,5,0,0,0,1,0,0,3,0,0,0,0,0,0,11,0,10,46,1,0,0,2,2,15,0,15,28,29,0,0,1,0
 24-34,0,0,0,0,4.1,0,0,0.82,0,0.82,0,0.82,2.46,0,0.82,0,1.64,0,0,0.82,0,7.39,0,4.93,25.45,0.82,0,0,0,4.93,0,0,0,1.64,7.39,0,0,0,0
 36-46,0,0,0,0,3.22,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,2.42,0.81,1.61,24.17,0,2.42,0,0.81,3.22,0,0,0,0,3.22,0,0,0.81,0
 48-58,0,0,0,0,2.87,0,0,7.46,0.57,0.57,0,2.3,0,0.57,0,1.72,0,0,0,0.57,0,4.02,0.57,1.15,13.2,0,2.87,0,0,1.15,0,0,0,0,5.74,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,11.78,0,0.98,0.98,2.94,2.94,0,0,0,0,0,0,0.98,0,7.85,0,0.98,20.61,0,3.93,0.98,0,1.96,0,0,0,0,4.91,0,1.96,1.96,1.96
 72-82,0,0,0,0,0.98,0,0,7.85,0,0,1.96,3.93,37.3,0,0,1.96,0.98,0,0,1.96,0,9.82,0,0.98,23.56,0,4.91,0,0,3.93,0,0.98,0,0,4.91,0,0.98,0,9.82
 84-94,0,0,4.25,0,1.06,1.06,0,4.25,0,0,5.31,3.19,69.03,0,0,1.06,3.19,0,0,4.25,1.06,5.31,0,0,12.74,0,4.25,0,0,3.19,0,6.37,0,0,0,0,1.06,0,16.99
 96-106,0,0,4.37,0,2.19,2.19,0,7.65,1.09,1.09,2.19,8.74,207.64,0,1.09,2.19,3.28,2.19,1.09,12.02,0,8.74,2.19,0,62.29,0,5.46,1.09,0,8.74,0,0,0,0,3.28,1.09,0,3.28,9.84
108-118,0,0,2.3,0,1.53,0,0.77,6.89,0.77,0.77,2.3,3.83,387.58,0,0,2.3,2.3,0,0,11.49,0,16.85,0.77,0,56.68,0,6.13,0.77,0,2.3,0,1.53,0,0,1.53,0,1.53,1.53,14.55
120,0,0,0,0,7.84,0,0,5.88,0,0,0,5.88,231.25,0,0,1.96,3.92,0,0,5.88,0,5.88,0,0,29.4,0,3.92,1.96,0,0,0,1.96,0,0,0,1.96,0,1.96,5.88
