stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,10,0,0,0,9,0,0,0,4,0,0,8,0,0,3,0,0,0,7,10,2,20,25,0,0
 24-34,0,1.64,0,0,0,9.85,0,0,0,4.1,0,1.64,22.98,0,11.49,3.28,0,0,0,0,2.46,0,0.82,29.55,0,0
 36-46,0,0,0,4.03,0,8.06,0,0,0.81,5.64,0,0.81,52.37,0,17.72,0,0,0,0,0,2.42,0,0,18.53,0,0
 48-58,0,0,0,1.72,0.57,4.59,0,0.57,0,4.02,0,1.15,33.85,0,8.61,0.57,0,0,0,0,1.15,0,0,24.1,0,0
 60-70,0,2.94,0,1.96,0,9.82,0,0,0,7.85,0.98,0,25.52,0,13.74,0.98,0,0,0,0,1.96,0,0,16.69,0,0
 72-82,2.94,0.98,0,5.89,0,8.83,2.94,0,0.98,5.89,0,0,37.3,0,25.52,1.96,0,0,0,0,0.98,0,0,11.78,0.98,0
 84-94,2.12,4.25,0,2.12,0,4.25,1.06,0,0,5.31,0,0,20.18,0,12.74,5.31,0,1.06,0,0,1.06,0,0,6.37,0,1.06
 96-106,0,0,1.09,2.19,1.09,2.19,1.09,0,2.19,6.56,0,1.09,17.49,0,18.58,6.56,0,1.09,0,0,1.09,0,0,3.28,0,0
108-118,0.77,0,0,3.83,1.53,5.36,0,0,0.77,5.36,0,0,9.19,0,16.09,1.53,0,0,0,0,3.06,0,0,2.3,0.77,0
120,0,7.84,0,3.92,0,1.96,1.96,0,0,1.96,0,1.96,19.6,0,13.72,0,0,0,0,0,0,0,0,1.96,0,0
