stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,269.7,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,34.17,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,3,7,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,7.39,0,0,3.28,0,0,0,0.82,0,0,2.46,0,0.82,1.64,0,2.46,0,2.46,14.78,0.82,1.64,0,0,0,20.52,0,0,0,0.82,3.28,0,0,1.64,0,0
 36-46,0,0,0,0,4.03,0.81,0,4.03,0,0,0,0,1.61,0,0,0,0,0,0.81,0,0,0.81,12.09,0,0.81,0,0,0,13.7,0,0,0,0,4.83,0,0,0.81,0,0.81
 48-58,0,0,0,0,1.15,0,0,5.74,0,0,1.15,0,0.57,2.3,0,0,0,0,0,2.87,0,0,15.49,0,1.15,0.57,0,0,4.02,0,0.57,0,0,3.44,0,0,0.57,0,0.57
 60-70,0,0,0,0,3.93,0,0,11.78,0.98,0,1.96,1.96,0,0,0,0,0,0,0,4.91,0,0.98,22.58,0,0,0,0,0,8.83,0,0,0,0,8.83,0,0,0.98,0,0
 72-82,0,0,0.98,0,4.91,6.87,0,15.71,1.96,0.98,8.83,19.63,0,0,1.96,0.98,0.98,0.98,0.98,19.63,0,0,27.49,0.98,0.98,0.98,0,0.98,13.74,0,0,0,0,0.98,0.98,0.98,3.93,0.98,1.96
 84-94,0,0,1.06,0,9.56,6.37,0,13.81,3.19,0,4.25,27.61,0,2.12,1.06,0,0,0,0,5.31,0,1.06,10.62,0,0,1.06,0,0,42.48,0,0,1.06,0,1.06,0,1.06,1.06,0,1.06
 96-106,0,0,1.09,0,4.37,6.56,0,17.49,0,0,5.46,80.87,0,3.28,6.56,0,0,0,2.19,5.46,1.09,0,28.41,0,3.28,0,0,0,40.44,0,2.19,0,0,2.19,0,0,1.09,0,1.09
108-118,0,0,1.53,0,11.49,3.06,0,13.02,3.83,0.77,4.6,135.58,0,1.53,0.77,2.3,1.53,3.06,0,12.26,0,1.53,16.09,0.77,0,0,0,0,26.04,0,0,0,0,1.53,0,0,1.53,0,2.3
120,0,0,3.92,0,7.84,7.84,1.96,7.84,0,0,13.72,137.18,0,0,0,0,0,3.92,0,0,1.96,1.96,33.32,0,0,0,0,0,56.83,0,0,0,0,1.96,1.96,0,1.96,0,0
