stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,0,1,0,1,1,13,51,1,0,0,0
 24-34,0,0.82,0,0.82,8.21,0,0,0,0,0,0,0,0,0,0,0.82,0,3.28,17.24,0.82,0,0,1.64,0,0,0.82,17.24,6.57,0,0,0
 36-46,0,0,0,5.64,8.06,0,0,0,0,0,0,0,0,0,0,3.22,0,3.22,26.59,0,0,0,0.81,0,0,2.42,4.83,8.06,0,0,0
 48-58,0,0,0,4.59,14.35,0,0.57,2.3,0,0,0,0.57,0,0,1.15,4.02,0.57,1.15,18.94,0,0,0,0.57,0,0,0,0,2.87,0,0,0
 60-70,0,0.98,0,6.87,18.65,0,0,0.98,0.98,0,0,0,0,0,0,5.89,0,0.98,13.74,0,0,0,0.98,0,0,0,0,4.91,0,0,0
 72-82,0,0,0,3.93,13.74,0,0,1.96,0,0,0,0,0,0,0,1.96,0,3.93,21.6,0,0.98,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,1.06,4.25,21.24,0,1.06,1.06,0,0,0,0,0,0,0,3.19,0,4.25,9.56,0,1.06,0,1.06,0,0,0,0,2.12,0,0,1.06
 96-106,0,3.28,0,5.46,34.97,1.09,0,2.19,0,1.09,0,0,0,0,0,5.46,0,4.37,19.67,1.09,1.09,0,2.19,0,0,1.09,0,0,2.19,0,1.09
108-118,0,0,0.77,7.66,30.64,0.77,0.77,2.3,0.77,0,0.77,0,0,0.77,0,6.89,0,5.36,8.43,0,0,0,0,0,0,1.53,0,0.77,0,0.77,0
120,0,0,0,3.92,15.68,0,1.96,1.96,0,0,0,0,1.96,0,0,0,0,1.96,7.84,0,0,0,3.92,0,0,0,0,0,0,0,0
