stage,endocrine_pancreas,epidermis,eye,fast_muscle,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,17,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,145.29,0.82,0,0,68.95,0,0
 36-46,0,0,9.67,0,0,0,0,0,0,0,0,0,394.78,1.61,0,0,111.18,0,0.81
 48-58,0,0,32.13,0,9.18,0,0,0,0,1.15,0,0.57,503.23,0,0,0,133.12,0,1.15
 60-70,0.98,0,82.45,0,0.98,0,0,0,0.98,1.96,0,1.96,563.39,0.98,0,0,133.49,0,0
 72-82,0.98,0.98,96.2,0,5.89,0,0.98,0,0,2.94,0,0,497.7,1.96,0,0,88.35,0.98,0
 84-94,1.06,2.12,50.98,0,10.62,0,0,0,0,1.06,1.06,0,234.71,2.12,0,0,45.67,0,1.06
 96-106,0,3.28,51.36,1.09,9.84,2.19,2.19,0,0,1.09,0,0,162.83,4.37,0,2.19,16.39,0,0
108-118,0,1.53,43.66,0,4.6,0,0,0.77,0,2.3,0,0,218.3,5.36,1.53,0,14.55,0,0
120,0,0,54.87,0,7.84,0,0,0,0,0,0,0,205.78,5.88,1.96,0,15.68,0,0
