stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,39.53,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,416.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,5.26,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,120.92,2.63,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,18.88,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,3,1,5,0,2,0,0,8,0,0,10,0,7,48,1,0,0,0,3,6,0,2,2,11,0,0
 24-34,0,0,0,4.93,0,10.67,0,4.93,0,0,5.75,0,0.82,19.7,0,0,161.71,0.82,0,0.82,0,1.64,0,0,13.13,0.82,40.22,2.46,0
 36-46,0,0,0,1.61,0,29.81,0,4.83,0,0,4.03,0,0,5.64,0.81,0,95.07,0.81,0.81,0,0,0,0,0,23.36,0,24.17,0,0
 48-58,0,0,0,1.72,0,38.44,0,3.44,0,0,2.87,0,0,8.03,1.15,2.87,62.54,0,0,0.57,0,0.57,0,0,15.49,0,8.61,0.57,0.57
 60-70,0,0,0,0.98,0,26.5,0.98,0.98,0,0,4.91,0,0,2.94,0,0,23.56,0.98,0,0,0,0.98,0,0,7.85,0,0.98,0,0
 72-82,0,0,0,0.98,0,1.96,0.98,1.96,0,0,2.94,0,0,6.87,0,0.98,9.82,0,0,0,0,0.98,0,0,2.94,0,0.98,0,0.98
 84-94,0,0,1.06,1.06,0,7.43,2.12,2.12,0,0,1.06,0,0,1.06,2.12,0,10.62,0,0,0,0,0,0,0,5.31,0,0,1.06,0
 96-106,0,0,0,1.09,0,6.56,3.28,2.19,1.09,0,1.09,0,0,2.19,0,0,8.74,0,1.09,0,1.09,1.09,0,0,5.46,0,0,1.09,0
108-118,0,0,0,0,0,2.3,2.3,1.53,0,0,1.53,1.53,0,0.77,0,1.53,6.89,0,0,0,0,0.77,0,0,4.6,0,0.77,0,0
120,0,0,0,0,3.92,7.84,0,3.92,0,0,1.96,0,0,1.96,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0
