stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,28.32,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,3,0,5,0,0,1,2,0,0,0,0,0,0,2,7,0,0,4,56,0,0,0,0,0,0,9,0,4,19,0,0,0,0
 24-34,0,0,0.82,3.28,0.82,3.28,0,0,1.64,0,0,0.82,0,0,0,0,0.82,6.57,0,0.82,4.93,73.88,0.82,0.82,0.82,0,0.82,0.82,0,0,0.82,19.7,0,0,2.46,0.82
 36-46,0,0,0,0,0,1.61,0,0.81,2.42,0,0,0,0,0.81,0,0,0,8.86,0.81,0,2.42,85.4,0,0,0,0,0,0,0,0,0,36.26,0,0,0,0
 48-58,0,0,0,0.57,0,8.61,1.15,0.57,10.33,0,0,0,0.57,0,0.57,0,0.57,14.35,0,0,1.72,110.17,0,0,0,0,0,1.15,0,0.57,0,19.51,0,0,0,0.57
 60-70,0,0,0,2.94,0,15.7,0.98,0.98,22.58,0,0,0,0,0,0,0,0,7.85,0,0.98,0.98,263.05,0,0,0,0,0.98,0,0,0,0,29.45,0,0,0.98,0
 72-82,0,0,0,0.98,0,41.23,0.98,0.98,19.63,0,0,0,0,0,0,0,0.98,16.69,0.98,0,1.96,311.19,0,0,0,0,0,1.96,0,0,0,19.63,0,0.98,0,0
 84-94,0,0,0,2.12,2.12,25.49,1.06,0,8.5,0,0,0,0,0,1.06,2.12,0,19.12,0,1.06,2.12,135.94,0,0,0,0,0,1.06,0,0,0,12.74,1.06,0,0,0
 96-106,0,0,0,3.28,0,33.88,0,0,22.95,1.09,0,0,0,2.19,1.09,0,0,14.21,0,1.09,0,145.35,0,1.09,2.19,0,0,7.65,0,0,0,5.46,0,0,0,0
108-118,0,0,0,4.6,0,26.04,0.77,0,6.13,0,0,0,0,0,0,0,0,6.13,0.77,0.77,0,145.53,0,0,0,0,0,5.36,0,0,0,6.13,0,0,0,0
120,0,0,0,5.88,1.96,27.44,5.88,0,5.88,1.96,0,0,0,0,0,0,0,7.84,0,0,0,150.9,0,1.96,1.96,0,0,3.92,0,0,0,3.92,0,0,0,0
