stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,7,11,0,11,1
 24-34,0,0,0,0,0,0,0,0,2.46,0,7.39,22.98,0,0,0.82,0,0,21.34,1.64,27.91,5.75
 36-46,0,0.81,0,0,5.64,0,0,0,13.7,0,1.61,18.53,0,0.81,0,0,0.81,9.67,0,25.78,6.45
 48-58,0,0,0,2.87,8.03,1.15,0,0,9.75,0.57,0,16.07,0.57,0,0,0,0,11.48,0,8.03,4.59
 60-70,0,0,0,0.98,4.91,0,0,0.98,9.82,0.98,1.96,15.7,0,0,0,0,0,3.93,0,0.98,0.98
 72-82,0,0,0,10.8,5.89,4.91,0,0,10.8,0,2.94,17.67,0,0,0.98,0,0,9.82,0,0.98,0.98
 84-94,0,0,0,3.19,13.81,1.06,0,0,5.31,0,2.12,11.68,0,0,1.06,0,0,4.25,0,0,2.12
 96-106,0,1.09,1.09,4.37,12.02,2.19,0,0,1.09,0,3.28,13.11,0,0,0,0,0,14.21,0,0,1.09
108-118,0,1.53,0,6.13,9.96,0.77,0,1.53,2.3,0,3.06,12.26,0.77,0.77,0,0,0,15.32,0,0,0
120,0,0,0,0,7.84,0,1.96,0,1.96,0,0,19.6,0,0,0,0,0,7.84,0,0,0
