stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,7,4,4,0,0,0,0,0,21,0,0,0,1,0,2,3,0,0,0,0,0,1,1,0,1,3,0,0,0,0
 24-34,0,0,0,2.46,7.39,0,0,0,0,0,18.06,0,0,0,0.82,0,0,7.39,0,0,0,0,0,0,3.28,0,0.82,0.82,0,1.64,0,0
 36-46,0,0,0,0,7.25,0,0,0,0,0,12.89,0.81,0,0,3.22,0.81,0,0.81,0,0,0,0,0,0,2.42,0,0,3.22,0,1.61,0,0
 48-58,0,0,0.57,0,4.59,0,0,0.57,0,0,14.92,0,0,0,1.15,0,0,1.72,0,0,0,0,0,0,0.57,0,0,0.57,0.57,0.57,0,0
 60-70,0,0,0.98,0,72.63,0,0.98,0,0,0,10.8,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,2.94,0.98,353.4,0,0,3.93,0,0.98,28.47,0,0.98,0.98,9.82,0,0.98,18.65,0,4.91,0,0,0,0,0,0,0,0.98,0,2.94,0,0
 84-94,0,0,2.12,0,274.01,0,1.06,4.25,0,0,37.17,0,0,1.06,5.31,0,0,11.68,0,0,0,0,4.25,0,0,0,0,0,0,3.19,1.06,0
 96-106,0,0,1.09,0,380.31,0,0,4.37,0,0,72.13,0,2.19,0,17.49,0,1.09,14.21,0,0,0,0,2.19,0,0,1.09,0,3.28,0,4.37,0,1.09
108-118,0,1.53,2.3,0.77,272.68,1.53,0.77,3.06,0.77,0,62.04,0,0,0.77,9.19,0.77,0,17.62,0.77,3.83,0.77,0,0,0,0,0,0,0,0.77,7.66,0.77,0.77
120,0,0,3.92,3.92,231.25,0,0,1.96,0,0,56.83,0,0,0,5.88,0,0,13.72,0,1.96,0,0,1.96,0,0,0,0,0,0,3.92,0,0
