stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,20,3,1,0,0,0,1,0,1,0,0,0,0,0,0,6,0,8,17,10,0,1,3,0,3,0,0,4,7,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,4.93,0,0,0,0.82,0,0,0,0.82,0,0.82,0.82,0.82,10.67,0,3.28,24.63,2.46,2.46,0.82,0,1.64,0,1.64,0,2.46,8.21,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,4.83,0,0,0,0.81,0,0,0,0,0,0,0,0,4.03,0,1.61,22.56,0,2.42,0.81,0,0.81,0,0,0,0,11.28,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,5.16,0,0,0.57,2.3,0,0,0,0,0,0,0,0.57,16.07,0.57,0.57,25.82,0,1.72,1.15,0,1.15,0,0,0,0,3.44,0,0,1.15,0,0
 60-70,0,0,0,0,0,0.98,11.78,0,0.98,0,4.91,0,0.98,0,0,0.98,0.98,0,0,9.82,0,0.98,33.37,0,0,0,0,0,0,0,0,0,2.94,0,0,1.96,0.98,0
 72-82,0,0,0,0,0,0.98,18.65,0,0,0,6.87,1.96,1.96,0,0,0.98,0,0,0,10.8,0,2.94,31.41,0,1.96,2.94,0,0,0,0,0,0,3.93,0.98,0.98,0,0,0
 84-94,0,0,0,0,3.19,0,9.56,0,1.06,0,1.06,1.06,0,1.06,1.06,1.06,1.06,0,0,8.5,0,0,23.36,0,2.12,1.06,0,3.19,0,0,0,0,0,0,2.12,2.12,0,0
 96-106,0,0,1.09,0,2.19,0,9.84,0,0,0,3.28,1.09,0,0,1.09,0,0,0,0,7.65,0,1.09,16.39,0,1.09,2.19,0,2.19,0,0,0,0,2.19,0,0,1.09,1.09,0
108-118,0,0,0,0,1.53,0,7.66,0.77,1.53,1.53,2.3,0,0,1.53,0.77,3.06,0,0,0.77,6.13,0,0.77,17.62,0,0,2.3,0,2.3,0,0.77,0.77,0,0,0,0.77,0.77,0,0.77
120,0,0,1.96,0,0,0,3.92,0,0,0,1.96,0,0,0,0,1.96,0,0,0,11.76,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
