stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,12.59,0,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,14,6,0,0,2,0,3,6,0,10,8,0,0,0
 24-34,0,0,0.82,0.82,0,0,2.46,0,0.82,0,0,0,0,1.64,0,0,0,1.64,0.82,0.82,0,0,0,96.86,0,7.39,0,0,0,13.13,0,0,3.28,32.01,0,0,0
 36-46,0,0,0,1.61,0,0,26.59,0,0,0,0.81,0,0,0.81,0,0,0.81,0,1.61,8.06,0,0.81,2.42,295.68,0,6.45,0,0,0,28.2,0,0,0,79.76,0.81,0,0
 48-58,0,0,0,0,0,0,55.09,1.15,0,0,0.57,0,0,0.57,0,0.57,1.15,0.57,0,7.46,0,0.57,0,190.5,0,5.16,0,0,0,16.07,0,0,0,55.09,0.57,0,0
 60-70,0,0,0,3.93,0,0,54.97,0,0,3.93,0.98,0.98,0,0.98,0.98,0,0.98,0,0,19.63,0,0,0.98,162.93,0,0.98,0,0,0,26.5,0,0.98,0,30.43,0,0,0
 72-82,0,0,0,1.96,1.96,0,24.54,0,0,0.98,3.93,0,0,0.98,0.98,0,1.96,0,0,20.61,0,0.98,0.98,83.44,0,7.85,0,0,0.98,37.3,0,0,0,4.91,0,0.98,0
 84-94,0,0,1.06,3.19,2.12,0,28.68,0,2.12,0,0,3.19,0,3.19,0,3.19,3.19,1.06,0,21.24,2.12,0,2.12,48.85,0,2.12,0,0,0,79.65,0,0,0,3.19,0,0,0
 96-106,0,0,0,1.09,2.19,0,21.86,0,2.19,0,4.37,0,0,0,1.09,1.09,3.28,0,0,10.93,3.28,1.09,2.19,27.32,0,2.19,0,0,3.28,80.87,0,0,0,0,1.09,0,1.09
108-118,0,0,0,7.66,0,1.53,25.28,0,2.3,0.77,0,0,0,0,0.77,2.3,4.6,0.77,1.53,16.09,0,0,3.06,42.89,0,3.83,0.77,0,0.77,66.64,0,0,0,0.77,1.53,0,1.53
120,0,0,0,7.84,0,0,23.52,0,1.96,3.92,1.96,1.96,0,0,0,3.92,0,0,0,19.6,1.96,0,0,39.2,0,1.96,1.96,0,0,39.2,0,0,0,0,0,0,0
