stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,1.64,0,0,0,2.46,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,1.61,0,0,0,0,0,0.81,4.83,0,1.61,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.72,3.44,0,0,2.3,0,0,0,0,0,0,9.75,0,1.72,0,0,0.57,1.15,1.72,0,0,0,0
 60-70,0,0,0,0,0,0,18.65,4.91,0,3.93,0.98,0,0,0,0,1.96,0,12.76,1.96,1.96,0,0,0,1.96,0.98,0,0,0,0
 72-82,0,5.89,0,0.98,0,0,28.47,14.72,0,13.74,0,0,0,0,0,7.85,0,28.47,4.91,3.93,0,0,0,1.96,3.93,0,0.98,1.96,0
 84-94,0,6.37,0,0,0,0,56.29,22.3,1.06,16.99,0,0,0,0,1.06,36.11,0,14.87,2.12,2.12,0,0,0,8.5,5.31,0,0,2.12,1.06
 96-106,0,10.93,0,1.09,2.19,0,86.33,8.74,2.19,20.76,0,0,1.09,0,0,32.79,0,20.76,0,12.02,0,0,0,6.56,10.93,1.09,0,0,0
108-118,0,3.83,0,0,0,0,116.43,9.19,5.36,12.26,0,0.77,1.53,0.77,0,27.57,0,16.09,1.53,13.02,0.77,0,0,2.3,3.83,0,0,0,0
120,0,5.88,0,1.96,0,1.96,64.67,3.92,3.92,15.68,0,0,1.96,0,0,21.56,0,5.88,1.96,7.84,0,0,0,1.96,5.88,0,0,0,0
