stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,neural,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,3.15,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,4.1,0,0.82
 36-46,0,0,0,0,0,0,0,0.81,4.03,4.03,0
 48-58,0,0,1.72,0,0.57,0,0.57,1.72,4.59,0.57,0
 60-70,0,0,4.91,0.98,0,0,0,0.98,3.93,0,0
 72-82,0,0,1.96,0,0,0,0,0.98,3.93,0,0
 84-94,0,0,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,1.09,0,1.09,0,0,0,1.09,0,0
108-118,0,0.77,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,3.92,0,1.96
