stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,30.65,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,14,1,0,6,0,0,1,0,0,0,0,0,0,0,1,7,0,0,2,22,0,0,0,0,6,6,1,8,0,1,0,0
 24-34,0,0,0.82,0.82,0,0,0.82,0,0,1.64,0,1.64,1.64,3.28,0,0.82,0.82,0,1.64,0,0,0,1.64,0.82,0.82,0,0,4.1,1.64,0,1.64,0,2.46,0,1.64
 36-46,0,0.81,0,0.81,0,0,0,0,0,1.61,0,0.81,3.22,0,0,0.81,0.81,0,3.22,0,0,0,4.03,0.81,0,0.81,0,0.81,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,0,0,0,2.3,0,0,0.57,0,0.57,5.16,0,0,0,0.57,0,2.87,0,0,0.57,9.18,0,0,0.57,0,0.57,0,0,1.15,0,2.3,0,0
 60-70,0,0,0,0,0,0,2.94,0,0,0,0.98,0.98,6.87,0,0.98,0,0,0,7.85,0.98,0,0,10.8,0,0,0,0.98,1.96,0,0,0,0,0.98,0,0
 72-82,0,0,0,1.96,0,0,10.8,0,0.98,0,0,1.96,10.8,0,0,0,0,0,8.83,0,0.98,0,2.94,0,0.98,0.98,0,1.96,0,0,0.98,0.98,0,0,0.98
 84-94,0,0,0,4.25,1.06,0,3.19,0,0,2.12,0,0,10.62,0,0,0,0,0,3.19,0,0,0,3.19,0,1.06,0,0,0,0,0,1.06,0,2.12,1.06,0
 96-106,0,1.09,0,2.19,0,0,5.46,1.09,2.19,0,0,3.28,24.04,0,0,2.19,0,0,6.56,1.09,1.09,0,4.37,0,0,0,0,5.46,0,0,0,0,3.28,0,0
108-118,0,0,0,8.43,0,5.36,4.6,0,1.53,2.3,0,0.77,24.51,1.53,0,0,1.53,0,14.55,0,0,2.3,4.6,1.53,0,0.77,0.77,2.3,1.53,0,0,2.3,3.83,0,0
120,0,0,1.96,11.76,1.96,1.96,3.92,0,0,1.96,0,0,31.36,3.92,0,0,0,0,11.76,0,0,1.96,1.96,1.96,0,1.96,3.92,3.92,1.96,0,0,0,9.8,0,0
