stage,epidermis,eye,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle
 14-21,1,0,0,1,0,0,0,0,0,0,0,8,0,0,2,1,2,0
 24-34,0,0,0,0.82,0,0,0,0,1.64,0,0,6.57,1.64,0,0,0,1.64,0
 36-46,0,2.42,0.81,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0
 48-58,0,2.3,1.15,0,0,0,0,0,1.72,0.57,0,2.87,0,0,0,0,1.72,0
 60-70,0,2.94,0,0,0,0,0,0,0,0,0,1.96,0,0.98,0,0,0.98,0
 72-82,0,1.96,0.98,0.98,0.98,1.96,0,0,3.93,0,0.98,5.89,1.96,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,2.12,0,0,0,0,1.06,0,0,0,0
 96-106,1.09,1.09,1.09,0,0,3.28,1.09,0,1.09,0,1.09,0,1.09,1.09,0,0,0,1.09
108-118,0,1.53,0.77,0.77,0,0.77,0,1.53,1.53,0,0,4.6,0.77,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,3.92,0,0,3.92,0,1.96,0,0,0,0
