stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11,1,0,103,0,0,0,3,0,1,0,0,0,0,0,0,7,0,0,0,464,0,0,1,2,0,1,0,2,1,0,5,23,0,0,1,0,0
 24-34,0,0,0,5.75,0,0,201.11,0,0.82,0.82,5.75,0,0,0,0,0,0,0,0.82,7.39,0.82,0,3.28,517.14,1.64,1.64,0.82,0,0,1.64,0,0,0,0.82,1.64,37.76,0,0,2.46,0,0.82
 36-46,0,0,0,1.61,0,0,315.02,0,0,0,18.53,0,0,0,0,0,0,0.81,0,10.47,0,0,1.61,393.97,2.42,2.42,0.81,0,0,1.61,0,0,0,0,0,16.92,0,0,0.81,0,0
 48-58,0,0,0,2.3,0,0,379.86,0,0.57,0,24.1,0,0,0,0,0.57,0,0,0.57,16.07,0,0,1.15,265.1,0,0.57,0,0,0,1.72,0,0,0,0,0,16.07,0,0,1.15,0,0
 60-70,0,0,0,0.98,0,0,694.92,0,0,0,23.56,0,0,2.94,0.98,0.98,0.98,0,0,12.76,0,0,1.96,231.64,1.96,0,0,0,0,0.98,0,0,0,0,0,7.85,0,0,0,0.98,0
 72-82,0,0,0,5.89,1.96,0,569.36,0,0,2.94,43.19,1.96,0,1.96,0,0,1.96,0,0.98,28.47,0,0,0.98,226.76,0,0.98,0,0,0,1.96,0,0,0,0,0,3.93,0.98,0,0.98,0.98,0.98
 84-94,0,0,0,9.56,2.12,0,478.98,1.06,0,0,29.74,0,0,1.06,1.06,0,0,0,0,21.24,1.06,1.06,1.06,123.2,0,0,0,0,0,2.12,1.06,0,0,0,0,3.19,2.12,1.06,0,1.06,0
 96-106,0,1.09,0,6.56,0,0,375.94,0,1.09,1.09,39.34,1.09,0,4.37,0,0,0,0,0,17.49,0,0,1.09,127.86,1.09,1.09,2.19,0,0,2.19,0,0,0,0,0,0,0,0,1.09,1.09,1.09
108-118,0,0,0,4.6,0.77,0.77,304.85,0,0.77,1.53,33.7,0.77,0,0.77,0,0,0,1.53,0,13.79,0,0.77,1.53,156.26,0.77,1.53,1.53,0,0.77,3.06,0,0,0.77,0,0,1.53,0,0,1.53,0,0
120,0,0,0,7.84,0,1.96,241.05,0,0,1.96,37.24,0,0,1.96,0,0,0,1.96,0,9.8,0,0,1.96,172.46,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0
